AD officiele benaming,Nationale identificatie / Aansluitnummer,AD vestigingsadres,AD plaats,AD postcode,AD land,Internetadres aanbestedende dienst
Gemeenschappelijke Regeling Nieuw Reijerwaard,192125297,Koningsplein 1,RIDDERKERK,2981EA,Nederland,http://www.nieuwreijerwaard.eu
Politie,111668359,Europaweg 224,Apeldoorn,7336AR,Nederland,http://www.politie.nl/
Gemeente Rotterdam - Roteb Lease,402137059,Postbus 11011,ROTTERDAM,3004 EA,Nederland,
"Gemeente 's-Hertogenbosch namens gemeenten Vught, Schijndel, Boxtel, Haaren, Sint-Michielsgestel, Heusden, 's-Hertogenbosch en provincie Noord-Brabant",491878990,Wolvenhoek 1,s-Hertogenbosch,5211 HH,Nederland,http://www.s-hertogenbosch.nl
Stichting voor Interconfessioneel en Algemeen Bijzonder Voortgezet Onderwijs te Rotterdam e.o.,181707643,Westersingel 108,ROTTERDAM,3015LD,Nederland,http://www.lmc-vo.nl
"Iris, Stichting voor Christelijk Voortgezet Onderwijs p/a IXion advies en aanbesteden",81903679,Postbus 268,RAALTE,8100 AG,Nederland,
"Gemeente Amsterdam, Bestuursdienst Amsterdam",32657489,1011 PN 1,Amsterdam,1011 PN,Nederland,
provincie Groningen project Groningen Bereikbaar,61673630,Sint Jansstraat 4,GRONINGEN,9712 JN,Nederland,http://www.provinciegroningen.nl
Gemeente Cromstrijen,54674912,Buttervliet 1,Numansdorp,3281 LK,Nederland,
Stichting Dunamare Onderwijsgroep,221617327,Surinameweg 8,HAARLEM,2035VA,Nederland,http://www.dunamare.nl
"Gemeente Binnenmaas, gemeente Cromstrijen, gemeente Korendijk, gemeente Oud-Beijerland, gemeente Strijen",54674912,P/a Buttervliet 1,Numansdorp,3281 LK,Nederland,
Rijkswaterstaat Programma's Projecten en Onderhoud,82067183,Eusebiusbuitensingel 66,Arnhem,6828 HZ,Nederland,http://www.rijkswaterstaat.nl
Gemeente Aa en Hunze,42168990,9461BH 1,GIETEN,9461BH,Nederland,
Veiligheidsregio Zaanstreek-Waterland,9546172,Prins Bernhardplein 112,ZAANDAM,1508XB,Nederland,http://www.vrzw.nl
"Stichting Samenwerking Voortgezet Onderwijs in de Regio Steenwijk, Weststellingwerf en Westerveld",471736934,p/a Revnu advies Klaas Buistlaan 27,Groningen,9731km,Nederland,http://www.rsgtrompmeesters.nl
Zonnepanelen Haarlemmermeer B.V.,302225622,Raadhuisplein 1,HOOFDDORP,2132TZ,Nederland,
"Provincie Drenthe, v.d. Dienst Landelijk Gebied",532146326,Cascadeplein 6,Groningen,9700RM,Nederland,http://www.dienstlandelijkgebied.nl
"Gemeente Utrecht, Projectbureau Leidsche Rijn",71663234,Beneluxlaan 4 4,UTRECHT,3527 HT,Nederland,http://www.utrecht.nl/leidsche-rijn/
Delta Infra B.V.,11819272,A. Fokkerstraat 8,MIDDELBURG,4462 ET,Nederland,http://www.delta.nl
"Gemeenten Diemen, Uithoorn en Ouder-Amstel p/a",32291858,Laan van Meerwijk 16,Uithoorn,1423 AJ,Nederland,http://www.uithoorn.nl
Campus Deltion College p/a PSI b.v.,71609732,Postbus 235,Raalte,8100 AE,Nederland,http://www.deltion.nl
Campus Deltion College p/a PSI b.v.,71609732,Boeierstraat 10,RAALTE,8102HS,Nederland,http://www.deltion.nl
Scholengroep OPRON p/a Combined Business Power B.V.,321706578,Zonnedauw 3,Apeldoorn,7322 EA,Nederland,http://www.opron.nl
Gemeente Coevorden,39686866,Kasteel 1,Coevorden,7741 GC,Nederland,http://www.coevorden.nl
Stichting Het Assink Lyceum,57653752,Bouwmeester 10,HAAKSBERGEN,7481LP,Nederland,http://www.hetassink.nl
Gemeente Voorst,10507952,H.W. Iordensweg 17,TWELLO,7391KA,Nederland,http://www.voorst.nl
Delta Energy B.V.,201877363,Poelendaelesingel 10,MIDDELBURG,4335JA,Nederland,http://www.delta.nl
Dienst Publiek en Communicatie,53688887,2513 AH 34,DEN HAAG,2513 AH,Nederland,
Stichting Hockeycomplex 's-Hertogenbosch,45729814,Oosterplasweg 35,s-Hertogenbosch,5215 HT,Nederland,
Stichting het Rijksmuseum,301596217,Hobbemastraat 20,AMSTERDAM,1071ZC,Nederland,http://www.rijksmuseum.nl
Gemeente Grootegast,142082226,Hoofdstraat 97,Grootegast,9861 AC,Nederland,http://www.grootegast.nl
Stichting Bureau Jeugdzorg Stadsregio Rotterdam,551812227,Delftseplein 29,ROTTERDAM,3013AA,Nederland,http://www.jeugdzorg-rotterdam.nl
"Onderwijsgroep Fier, stichting voor openbaar en algemeen bijzonder primair onderwijs",361809401,9051BS 8,STIENS,9051BS,Nederland,
Gemeente Almelo,3720748,Stadhuisplein 1,Almelo,7607EK,Nederland,http://www.almelo.nl
"Gemeente Amsterdam, Dienst Maatschappelijke Ontwikkeling",592170316,p/a Weesperstraat 432,Amsterdam,1018 DN,Nederland,http://www.amsterdam.nl/gemeente/organisatie-diensten/dmo
"Gemeente Amsterdam, Dienstverlening en Facilitair Management",341983442,1011 PN 1,Amsterdam,1011 PN,Nederland,
Gemeente Noordenveld,241658731,9301 AA 1,Roden,9301 AA,Nederland,
Gemeenschappelijke regeling Afval Verwijdering Utrecht,421890030,Lange Brinkweg 81,SOEST,3764AB,Nederland,http://www.avu.nl
Bestuurscentrum VCO Oost Nederland,571915927,7544GG 81,ENSCHEDE,7544GG,Nederland,
de ISNV-gemeenten incl. gemeente Raalte,56341363,p/a Zonnedauw 3,Apeldoorn,7322 EA,Nederland,
DCO (Sanitaire voorzieningen),201802958,p/a Edvard Munchweg (Atir) 61,Almere,1328 MK,Nederland,http://www.dcozeeland.nl
DCO (Schoonmaak),201802958,p/a Edvard Munchweg (Atir) 61,Almere,1328 MK,Nederland,http://www.dcozeeland.nl
Ministerie van Infrastructuur en Milieu,211946370,Plesmanweg 1,Den Haag,2597 JG,Nederland,
NPO,46523827,Sumatralaan 45,HILVERSUM,1217GP,Nederland,https://login.commerce-hub.com/index.cfm?fuseAction=__requestBook.description&_kid=57BD56D1-11953
Schadefonds Geweldsmisdrijven,52774427,2288DC 295,RIJSWIJK,2288DC,Nederland,
"RAV Noord-Holland Noord, RAV Zeeland, RAV Noord- en Oost-Gelderland, RAV Kennemerland, RAV Haaglanden",6236577,p/a Zijlweg 200,HAARLEM,2015CK,Nederland,http://www.vrk.nl
Stichting Trevianum,442239720,Bradleystraat 25,SITTARD,6135CV,Nederland,http://www.trevianum.nl
Gemeentelijk Belastingkantoor Twente,451927574,7556BM 121,HENGELO OV,7556BM,Nederland,
"De Kompanjie, werkorganisatie Pekela en Veendam",46516622,Raadhuisplein 5,VEENDAM,9641AW,Nederland,http://www.veendam.nl
Stichting Regionaal Inkoopbureau IJmond & Kennemerland,262273306,Dudokplein 1,Velsen,1971 EN,Nederland,http://www.stichtingrijk.nl
Stichting Nordwin College p/a IXion advies en aanbesteden,38660910,Postbus 268,RAALTE,8100 AG,Nederland,http://www.nordwincollege.nl
NUON Power Generation B.V.,58522675,Keulsekade 181,UTRECHT,3534AC,Nederland,http://www.nuon.com
Stichting Consent,2014752,Buurserstraat 250,ENSCHEDE,7544RG,Nederland,http://www.consent-enschede.nl
"Ministerie van Defensie, Koninklijke Marine",412151249,Rijks Zee en Marinehaven 1,Den Helder,1780 CA,Nederland,http://www.defensie.nl
SSC DeSom p/a Gemeente Medemblik,32219546,Dick Ketlaan 21,Wognum,1687 CD,Nederland,
Stichting Nederlands Instituut voor Beeld en Geluid,31938551,Media Parkboulevard 1,HILVERSUM,1217WE,Nederland,http://www.beeldengeluid.nl
Gemeente Coevorden p/a Combined Business Power B.V.,39686866,Zonnedauw 3,Apeldoorn,7322 EA,Nederland,
NPO,46523827,Sumatralaan 45,HILVERSUM,1217GP,Nederland,https://login.commerce-hub.com/index.cfm?fuseAction=__requestBook.description&_kid=57BD56D1-12125
Stichting Wetsus Centre of Excellence for Sustainable Water Technology,372829938,8934CJ 1,LEEUWARDEN,8934CJ,Nederland,
Stichting Huisvesting Voortgezet Onderwijs Dronten en omstreken,35641306,8262BP 87,KAMPEN,8262BP,Nederland,
Vereniging Afvalsamenwerking Limburg (ASL) - KplusV organisatieadvies,411684491,p/a Velperplein 8,Arnhem,6811 AG,Nederland,http://www.afvalsamenwerkinglimburg.nl
Gemeente Franekeradeel,56720697,Harlingerweg 18,FRANEKER,8801PA,Nederland,http://www.franekeradeel.nl
Provincie Overijssel en Regio Twente,221853294,p/a Luttenbergstraat 2,ZWOLLE,8012EE,Nederland,http://www.overijssel.nl
FRES- Foundation Rural Energy Services,402297103,Amstel 49 8,AMSTERDAM,1011 PW,Nederland,http://www.fres.nl
"Dienst Landelijk Gebied, namens de provincie Friesland",532146326,Zuidersingel 3,Leeuwarden,8901JA,Nederland,http://www.dienstlandelijkgebied.nl
"Stichting ZAAM, Interconfessioneel Voortgezet Onderwijs",322111867,Dubbelink 2,AMSTERDAM ZUIDOOST,1102AL,Nederland,http://www.zaam.nl
Gemeente Zwartewaterland,51483294,Telvorenstraat 2,Hasselt,8061 CB,Nederland,http://www.zwartewaterland.nl
Gemeente Werkendam en gemeente Woudrichem,38371079,"p/a Gemeente Werkendam, Raadhuisplein 1",Werkendam,4251 VZ,Nederland,http://www.werkendam.nl
bedrijventerrein Harnaschpolder,221645423,Anna van Raesfeltstraat 37,SCHIPLUIDEN,2636HX,Nederland,http://www.harnaschpolder.nl
Gemeente Vlaardingen,6116978,Industrieweg 9,Vlaardingen,3133 EE,Nederland,http://www.vlaardingen.nl
Gemeente Tytsjerksteradiel,2472777,Raadhuisweg 7,Burgum,9251 GH,Nederland,http://www.t-diel.nl
Dienst Landelijk Gebied,532146326,Prinses Beatrixlaan 2,Den Haag,2595 AL,Nederland,http://www.dienstlandelijkgebied.nl
Anculus namens CPOW-MOP,202133481,Pastoor Petersstraat 170,Eindhoven,5612 LW,Nederland,http://www.anculus.nl
"Ministerie van Economische Zaken, Rijksdienst voor Ondernemend Nederland",12024663,Prinses Beatrixlaan 2,Den Haag,2595 AL,Nederland,http://www.rvo.nl/onderwerp/aanbesteden-van-innovaties
Radboud Universitair Medisch Centrum,221778972,FC Donderslaan 2,Nijmegen,6500 HB,Nederland,http://www.radboudumc.nl
C.V. Werklandschapsontwikkelingsmaatschappij Klavertje 4,181621408,Sint Jansweg 15,VENLO,5928RC,Nederland,http://www.dcgv.nl
Waterschap Vallei en Veluwe i.s.m. Rijkswaterstaat Oost-Nederland,6513549,Steenbokstraat 10,Apeldoorn,7324AX,Nederland,http://www.krwijssel.nl
Baanbrekers,132007518,Zanddonkweg 14,Waalwijk,5144 NX,Nederland,http://www.baanbrekers.org
"RID De Liemers namens de gemeente Duiven, Rijnwaarden, Westervoort en Zevenaar",161596305,6921ER 3,DUIVEN,6921ER,Nederland,
Gemeente Bunschoten,49546205,Stadsspui 1,BUNSCHOTEN-SPAKENBURG,3752CL,Nederland,http://www.bunschoten.nl
Sociaal-Economische Raad - SER,561984994,Bezuidenhoutseweg 60,S-GRAVENHAGE,2594AW,Nederland,http://www.ser.nl
Gemeente Ermelo,56341363,Raadhuisplein 2,Ermelo,3851 NT,Nederland,http://www.tenderned.nl
Algemene Rekenkamer,301984341,Lange Voorhout 8,Den Haag,2514ED,Nederland,http://www.rekenkamer.nl
BelvÃƒÂ©dÃƒÂ¨re WOM B.V.,202214754,Postbus 68,Maastricht,6200 AB,Nederland,http://www.belvedere-maastricht.nl
Waterschap Roer en Overmaas,18664359,Parklaan 10,SITTARD,6130AD,Nederland,http://www.overmaas.nl
"Gemeente Haarlem, vertegenwoordigd door Royal HaskoningDHV",50647371,Entrada 301,Amsterdam,1096 ED,Nederland,http://www.haarlem.nl
Radboud Universitair Medisch Centrum,221778972,Geert Grooteplan Zuid 10,Nijmegen,6525GA,Nederland,http://www.radboudumc.nl
Gemeente Vlaardingen,6116978,Industrieweg 9,Vlaardingen,3134 AC,Nederland,http://www.vlaardingen.nl
Emmtec Services B.V.,151721349,Eerste Bokslootweg 17,EMMEN,7821AT,Nederland,http://www.emmtecservices.nl
Gemeente Enschede,54685354,7514 AD 51,ENSCHEDE,7514 AD,Nederland,
Omgevingsdienst Groningen,212229229,Lloydsweg 17,VEENDAM,9641KJ,Nederland,http://www.od-groningen.nl
Stichting Protestants Christelijk Primair Onderwijs regio Westland,4759625,Zuidweg 87,NAALDWIJK,2671MP,Nederland,http://www.pcpowestland.nl
Radboud Universitair Medisch Centrum,221778972,Geert Grooteplein-Zuid 10,Nijmegen,6525GA,Nederland,http://www.radboudumc.nl
"Belastingdienst, IUC Belastingdienst",12629279,John F Kennedylaan 8,Apeldoorn,7314 PS,Nederland,http://www.belastingdienst.nl
"Belastingdienst, IUC Belastingdienst",12629279,J.F. Kennedy Laan 8,Apeldoorn,7314 PS,Nederland,http://www.belastingdienst.nl
Politie,111668359,Kwekerijweg 6,Zeist,3709 JA,Nederland,http://www.inhuurdeskpolitie.nl
Gemeente Albrandswaard,421705862,Hofhoek 5,Poortugaal,3176 PD,Nederland,http://www.albrandswaard.nl
Stichting Voortgezet Onderwijs Kennemerland p/a IXion advies en aanbesteden,501690419,Postbus 268,Raalte,8100 AG,Nederland,http://www.svok.nl
"Gemeente Amsterdam, stadsdeel West",52049168,Bos en Lommerplein 250,Amsterdam,1055 EK,Nederland,http://www.west.amsterdam.nl
Stichting Pantar Amsterdam,321924422,Kriekenoord 3,Diemen,1111 PT,Nederland,http://www.pantar.nl
Gemeente Schoonhoven,272070284,2871 CK 37,Schoonhoven,2871 CK,Nederland,
Gemeente Staphorst,131595792,7951DE 26,STAPHORST,7951DE,Nederland,
Gemeente Borger-Odoorn,181714819,Hoofdstraat 50,Exloo,7875 AD,Nederland,http://www.borger-odoorn.nl
Gemeente Oost Gelre,412165553,Varsseveldseweg 2,Lichtenvoorde,7131 BJ,Nederland,http://www.oostgelre.nl
"Gemeente Groningen, Afdeling IGG",23670183,9711 HL 98,Groningen,9711 HL,Nederland,
Rijkswaterstaat Programma's Projecten en Onderhoud,82067183,Boompjes 200,Rotterdam,3011 XD,Nederland,http://www.rijkswaterstaat.nl
Stichting Conexus,241981513,Panovenlaan 1,Nijmegen,6525DZ,Nederland,http://www.conexus.nu/
"VBNE, voor deze de Dienst Landelijk Gebied",532146326,St. Jacobsstraat 200,Utrecht,3511 BT,Nederland,http://www.dienstlandelijkgebied.nl
Dunea N.V.,53382879,Plein van de Verenigde Naties 11,Zoetermeer,2719 EG,Nederland,http://www.dunea.nl
Op/maat namens de Werkorganisatie West-Friesland,41637412,Dampten 26,Hoorn,1624 NR,Nederland,http://www.opmaatwf.nl
Stichting Sirius,312227339,Schonerwoerdstraat 1,AMSTERDAM ZUIDOOST,1107GA,Nederland,http://www.stichting-sirius.nl
Brabantse Ontwikkelings Maatschappij Holding B.V. p/a Smulders Procuremanagement,1396118,Goirleseweg 15,TILBURG,5026PB,Nederland,http://www.bom.nl
IUC Belastingdienst,12629279,JF Kennedylaan 8,Apeldoorn,7314 PS,Nederland,http://www.belastingdienst.nl
Stichting Fortior,211918031,5912 PM 11,Venlo,5912 PM,Nederland,
Stichting ROC West-Brabant,33654438,Trivium 76,ETTEN-LEUR,4873LP,Nederland,http://www.rocwb.nl
ISHW,452072914,Sportlaan 22,MAASDAM,3299XG,Nederland,http://www.ishw.nl
ACV Gemeenten BV,452043112,6718 WV 4,Ede,6718 WV,Nederland,
Alliander N.V.,552705633,Utrechtseweg 68,ARNHEM,6812AH,Nederland,http://www.alliander.com/nl/alliander/nieuwe-markten/duurzame-gebiedsontwikkeling/index.htm
Centrale Vastgoedorganisatie Den Haag,531693818,Spui 70,Den Haag,2511 BT,Nederland,http://www.zri.nl/aanbestedingen
"Bizob namens gemeente Best, Heeze-Leende, Oirschot en Schijndel",221959283,Markt 1,Oirschot,5688 AJ,Nederland,http://www.bizob.nl
Gemeente Kampen,521686216,Burgemeester Berghuisplein 1,Kampen,8261 DD,Nederland,
Stichting Christelijk Voortgezet Onderwijs Over- en Midden-Betuwe,2497574,p/a Akerstraat 104,Heerlen,6417 BN,Nederland,http://www.sgomb.nl
Unie van Waterschappen,1086724,2596AA 40,S-GRAVENHAGE,2596AA,Nederland,
Grondexploitatiemaatschappij Meerstad,561900454,Hoofdweg 143,HARKSTEDE,9617AD,Nederland,http://www.meerstad.eu
"Iris, Stichting voor Christelijk Voortgezet Onderwijs p/a IXion advies en aanbesteden",81903679,Postbus 268,RAALTE,8100 AG,Nederland,
Gemeente Montferland,1567982,6942 BE 14,Didam,6942 BE,Nederland,
Open Universiteit,331569381,Valkenburgerweg 177,Heerlen,6419 AT,Nederland,http://www.ou.nl
"Belastingdienst, IUC Belastingdienst",12629279,John. F. Kennedylaan 8,Apeldoorn,8314 PS,Nederland,http://www.belastingdienst.nl
Gemeente Groningen,461770445,Duinkerkenstraat 45 98,GRONINGEN,9723 BP,Nederland,http://gemeente.groningen.nl/
Stichting Aanpak Overlast Amsterdam,22149786,Maassluisstraat 416,AMSTERDAM,1062GS,Nederland,http://www.aanpakoverlast.nl
Vereniging Wigo4it in coÃƒÂ¶peratief verband met uitsluiting van aansprakelijkheid,192089276,Koningin Julianaplein 10,S-GRAVENHAGE,2595 AA,Nederland,http://www.wigo4it.nl
"De Provincie Zeeland, voor deze de Dienst Landelijk Gebied",532146326,Evertsenstraat 98,Goes,4460 AA,Nederland,http://www.dienstlandelijkgebied.nl
Stichting voor Fundamenteel Onderzoek der Materie,111590197,3527JP 659,UTRECHT,3527JP,Nederland,
Gemeente Zeist,242174937,3701 HS 1,Zeist,3701 HS,Nederland,
Gemeente SÃƒÂºdwest-FryslÃƒÂ¢n,352062623,Marktstraat 15,SNEEK,8601CR,Nederland,http://www.gemeentesudwestfryslan.nl
Gemeente Heusden,58545766,Julianastraat 34,VLIJMEN,5251ED,Nederland,http://www.heusden.nl
Gemeente Lansingerland,60484792,2662 SB 1,BERGSHENHOEK,2662 SB,Nederland,
Regio West-Brabant,511659779,Roosendaalseweg 4,Etten- Leur,4875 AA,Nederland,http://www.west-brabant.eu
Cibap,2645156,Nijverheidstraat 11,Zwolle,8031 DZ,Nederland,http://www.cibap.nl
Nuon Power Generation B.V.,402297103,Keulsekade 181,UTRECHT,3503 RL,Nederland,http://www.nuon.nl
Inkoopuitvoeringscentrum (IUC) Belastingdienst,12629279,John F. Kennedylaan 8,Apeldoorn,7314 PS,Nederland,http://www.belastingdienst.nl
Stichting Alliantie Voortgezet Onderwijs voor Nijmegen en Het Land van Maas en Waal,311795909,Scherpenkampweg 21,NIJMEGEN,6545AK,Nederland,http://www.alliantievo.nl
Ministerie van Infrastructuur en Milieu,211946370,Plesmanweg 1,Den Haag,2597 JG,Nederland,http://www.rijksoverheid.nl/ministeries/ienm
NS Stations B.V.,41680548,Stationshal 17,UTRECHT,3500 GM,Nederland,http://www.nsstations.nl
Gemeente Berkelland,561530631,Marktstraat 1,Borculo,7271 AX,Nederland,http://www.gemeenteberkelland.nl
CoÃƒÂ¶peratie Scholengroep PompeblÃƒÂªd UA,581835655,Elzenstraat 5,Leeuwarden,8924 JN,Nederland,http://www.pompebled.nl
Schoolvereniging Rehoboth,56564139,Vlaak 14,Urk,8321 RV,Nederland,http://www.rehoboth.nu
"Ministerie van Onderwijs, Cultuur en Wetenschap",8672720,2515 XP 50,Den Haag,2515 XP,Nederland,
"Provincie Utrecht, voor dezen de Dienst Landelijk Gebied",532146326,St. Jacobsstraat 200,Utrecht,3511 BT,Nederland,http://www.dienstlandelijkgebied.nl
"Gemeente Amsterdam, stadsdeel West,",52049168,Bos en Lommerplein 250,Amsterdam,1055 EK,Nederland,http://www.west.amsterdam.nl
Gemeente Amsterdam. (Penvoerder stadsdeel Zuid),40653765,President Kennedylaan 923,Amsterdam,1079 MZ,Nederland,http://www.zuid.amsterdam.nl
Ergon,33738170,Rooijakkersstraat 3,Eindhoven,5652 BA,Nederland,
ROC Friese Poort,5242405,Badweg 2,Leeuwarden,8934 BW,Nederland,
Etty Hillesum Lyceum,182736717,Laan van Borgelo 60,Deventer,7415 DJ,Nederland,http://www.ettyhillesumlyceum.nl
NPO,46523827,Bart de Graaffweg 2,HILVERSUM,1217ZL,Nederland,https://login.commerce-hub.com/index.cfm?fuseAction=__requestBook.description&_kid=57BD56D1-12514
Werkorganisatie Duivenvoorde,14459864,Johan de Wittstraat 45,Wassenaar,2242lv,Nederland,http://www.werkorganisatieduivenvoorde.nl
Scholengemeenschap De Rooi Pannen,41711895,Dr. Ahausstraat 1,TILBURG,5042EK,Nederland,http://www.zri.nl/aanbestedingen
Gemeente Schoonhoven,272070284,Haven 37,Schoonhoven,2871 CK,Nederland,http://www.schoonhoven.nl
Gemeente Utrecht,71663234,Ravellaan 96,UTRECHT,3533 JR,Nederland,http://www.utrecht.nl/stadsingenieurs
De Waterwolf Dienstverlening Buitenruimte B.V.,42360369,Diamantlaan 15,HOOFDDORP,2132WV,Nederland,
Anculus namens Scholengroep Over- en Midden-Betuwe/Over Betuwe College - De Heister,2497574,Pastoor Petersstraat 170,Eindhoven,5612 LW,Nederland,http://www.anculus.nl
Gemeenschappelijke Regeling Samenwerking Kempengemeenten,9675563,Burg. Magneestraat 1,Bergeijk,5571 HB,Nederland,
Stichting Katholiek Onderwijs Flevoland-Veluwe,162058887,Meentweg 14,LELYSTAD,8224BP,Nederland,http://www.skofv.nl
"Gemeente Tilburg, namens het college van burgemeester en wethouders, het hoofd van de afdleing Ruimte",32696202,Schouwburgring 103 130,Tilburg,5038 TK,Nederland,http://www.tilburg.nl
Gemeente Vlaardingen,6116978,Westnieuwland 6,Vlaardingen,3130 EB,Nederland,http://www.vlaardingen.nl
"""Facilitaire Samenwerking Bevolkingsonderzoeken in coÃƒÂ¶peratief verband met uitsluiting van aansprakelijkheid (U.A.)""",172143209,Hoogoorddreef 54,AMSTERDAM,1101BE,Nederland,
NPO,46523827,Sumatralaan 45,HILVERSUM,1217GP,Nederland,https://login.commerce-hub.com/index.cfm?fuseAction=__requestBook.description&_kid=57BD56D1-12515
Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,41625119,Turfmarkt 147,Den Haag,2511 DP,Nederland,http://www.rijksoverheid.nl/ministeries/bzk
"Gemeente Tilburg, namens het college van burgemeester en wethouders, het hoofd van de afdleing Ruimtelijke Uitvoering",32696202,Stadhuisplein 130,Tilburg,5038 TC,Nederland,http://www.tilburg.nl
Gemeente SÃƒÂºdwest FryslÃƒÂ¢n,352062623,Stadslaan 75,IJlst,8651AC,Nederland,http://www.gemeentesudwestfryslan.nl
"RID De Liemers (namens de gemeente Duiven, Rijnwaarden, Westervoort en Zevenaar)",161596305,Scheefkelk 2,DUIVEN,6922 HH,Nederland,
"Stichting r.-k., Algemeen Bijzonder en Openbaar Primair Onderwijs PANTA RHEI",382631524,Overgoo 13,LEIDSCHENDAM,2266 JZ,Nederland,http://www.stichtingpantarhei.nl
Omroepvereniging BNN-VARA samen met NTR,592489346,Sumatralaan 49,HILVERSUM,1217GP,Nederland,
Weener XL Werk & Inkomen 's-Hertogenbosch,491878990,Van Herpensweide 1,s-Hertogenbosch,5231 VL,Nederland,http://www.weenerxl.nl
GVB Infra B.V.,5953591,Arlandaweg 100,AMSTERDAM,1043 HP,Nederland,http://www.gvb.nl
Alliander N.V.,552705633,Utrechtseweg 68,ARNHEM,6812AH,Nederland,https://login.commerce-hub.com/index.cfm?fuseAction=__requestBook.description&_kid=DAF5FB14-12419
Gemeente Haren p/a Het NIC B.V.,222149447,Dr. Stolteweg 60,Zwolle,8025AZ,Nederland,http://www.haren.nl
Area Development Twente,61644157,7524PJ 31,ENSCHEDE,7524PJ,Nederland,
Katholieke Scholenstichting Utrecht (K.S.U.),40654270,Kaap Hoorndreef 46,UTRECHT,3563AV,Nederland,http://www.ksu-utrecht.nl
"Gemeente Binnenmaas, gemeente Cromstrijen, gemeente Korendijk, gemeente Oud-Beijerland, gemeente Strijen",54674912,P/a Buttervliet 1,Numansdorp,3281 LK,Nederland,http://www.Cromstrijen.nl
CVO Zuid-West FryslÃƒÂ¢n,581613355,Hemdijk 2,Sneek,8601XH,Nederland,http://www.cvo-zwfryslan.nl
Luchtverkeersleiding Nederland,351981909,1117CV 1001,SCHIPHOL,1117CV,Nederland,
Stichting Verschillend Onderwijs in Leusden Achterveld,14755569,Berkelwijk 37,LEUSDEN,3831MN,Nederland,http://www.voilaleusden.nl
Gemeenschappelijke Gezondheidsdienst Hollands Noorden,61813089,Grotewallerweg 1,SCHAGEN,1742NM,Nederland,http://www.ggdhollandsnoorden.nl
Stichting Professor Dr. Leo Kanneronderwijsgroep,52447701,Hazenboslaan 101,Oegstgeest,2343SZ,Nederland,http://www.leokanner.nl
"""Stichting voor Christelijk Voortgezet Onderwijs voor Zuidoost-Utrecht""",182049362,Hoofdstraat 78,DRIEBERGEN-RIJSENBURG,3972LB,Nederland,http://www.cvog.nl
Stadsregio Rotterdam,442166465,Meent 106,ROTTERDAM,3011JR,Nederland,http://www.stadsregio.info
Rijkswaterstaat Programma's Projecten en Onderhoud,82067183,Boompjes 200 3011,Rotterdam,3000 AN,Nederland,http://www.rijkswaterstaat.nl
Gemeente Borger-Odoorn en Coevorden,181714819,Hoofdstraat 50,Exloo,7875 AD,Nederland,http://www.borger-odoorn.nl
"Gemeente Borger-Odoorn, Coevorden en Noordenveld",181714819,Hoofdstraat 50,Exloo,7875 AD,Nederland,http://www.borger-odoorn.nl
Regio West-Brabant,1582806,Trivium 76,Etten-Leur,4873 LP,Nederland,
Christiaan Huygens College,431579088,5652CA 38,EINDHOVEN,5652CA,Nederland,
"Rijkswaterstaat Water, Verkeer en Leefomgeving",482071032,Postbus 17,LELYSTAD,8200 AA,Nederland,http://www.rijkswaterstaat.nl
Gemeente Rotterdam - Serviceorganisatie,402137059,Postbus 1130,ROTTERDAM,3000 BC,Nederland,http://www.rotterdam.nl
Provincie Drenthe,22440214,Westerbrink 1,ASSEN,9405 BJ,Nederland,http://www.drenthe.nl
N.V. Nuon Warmte,402297103,Hoekenrode 8,AMSTERDAM,1102 BR,Nederland,http://www.nuon.com
COG,351922424,Reehorsterweg 80,EDE,6717LG,Nederland,http://www.cog.nl
Stichting Minkema College voor Openbaar Voortgezet Onderwijs in Woerden en omstreken,101747228,"p/a IXion advies en aanbesteden, Postbus 268",RAALTE,8100 AG,Nederland,http://www.minkema.nl
CoÃƒÂ¶peratie ParkeerService UA,44751899,Utrechtseweg 12,AMERSFOORT,3811NB,Nederland,http://www.cooperatieparkeerservice.nl
Veiligheidsregio Brabant-Zuidoost en GGD Brabant-Zuidoost,541574175,Deken van Somerenstraat 2,Eindhoven,5611 KX,Nederland,
"Provincie Limburg, voor deze Dienst Landelijk Gebied",532146326,Postbus 965,Roermond,6040 AZ,Nederland,http://www.dienstlandelijkgebied.nl
Surfnet B.V.,412239709,Radboudkwartier 273,UTRECHT,3511CK,Nederland,http://www.surfnet.nl
"Innovo, Stichting voor Katholiek Onderwijs",3769312,Ruys de Beerenbroucklaan 29,HEERLEN,6417CC,Nederland,http://www.innovo.nl
Stichting Openbaar Primair Onderwijs Almelo,91773050,Sluiskade Zuidzijde 187,Almelo,7607 XT,Nederland,
"Stichting Openbaar Voortgezet Onderwijs Coevorden, Hardenberg en omstreken",4695380,Van Heeckerenlaan 2,Coevorden,7742 AB,Nederland,
Gemeente Weert p/a Combined Business Power B.V.,411684491,Postbus 4350,Apeldoorn,7320 AJ,Nederland,
Provincie Drenthe,22440214,Westerbrink 1,ASSEN,9405 BJ,Nederland,http://www.provincie.drenthe.nl
Gemeenschappelijke Regeling Omgevingsdienst Midden- en West-Brabant,181829102,5038CB 181,TILBURG,5038CB,Nederland,
Aloysius Stichting Onderwijs Jeugdzorg Stafbureau,37731875,Leidsevaart 2,Voorhout,2215 RE,Nederland,
