"Gemeente";"CBS";"Politie-eenheden";"Inwoneraantal van regio"
"Meerssen";"0938";"Limburg";"1118054"
"Menameradiel";"1908";"Noord-Nederland";"1719039"
"Menterwolde";"1987";"Noord-Nederland";"1719039"
"Meppel";"0119";"Noord-Nederland";"1719039"
"Middelburg";"0687";"Zeeland - West-Brabant";"1471846"
"Midden-Delfland";"1842";"Den Haag";"1836384"
"Midden-Drenthe";"1731";"Noord-Nederland";"1719039"
"Mill en Sint Hubert";"0815";"Oost-Brabant";"1398196"
"Moerdijk";"1709";"Zeeland - West-Brabant";"1471846"
"Molenwaard";"1927";"Rotterdam";"1764400"
"Montferland";"1955";"Oost-Nederland";"3167052"
"Montfoort";"0335";"Midden-Nederland";"1911552"
"Mook en Middelaar";"0944";"Limburg";"1118054"
"Neder-Betuwe";"1740";"Oost-Nederland";"3167052"
"Nederweert";"0946";"Limburg";"1118054"
"Neerijnen";"0304";"Oost-Nederland";"3167052"
"Nieuwegein";"0356";"Midden-Nederland";"1911552"
"Nieuwkoop";"0569";"Den Haag";"1836384"
"Nijkerk";"0267";"Oost-Nederland";"3167052"
"Nijmegen";"0268";"Oost-Nederland";"3167052"
"Nissewaard";"1930";"Rotterdam";"1764400"
"Noord-Beveland";"1695";"Zeeland - West-Brabant";"1471846"
"Noordenveld";"1699";"Noord-Nederland";"1719039"
"Noordoostpolder";"0171";"Midden-Nederland";"1911552"
"Noordwijk";"0575";"Den Haag";"1836384"
"Noordwijkerhout";"0576";"Den Haag";"1836384"
"Nuenen, Gerwen en Nederwetten";"0820";"Oost-Brabant";"1398196"
"Nunspeet";"0302";"Oost-Nederland";"3167052"
"Nuth";"0951";"Limburg";"1118054"
"Oegstgeest";"0579";"Den Haag";"1836384"
"Oirschot";"0823";"Oost-Brabant";"1398196"
"Oisterwijk";"0824";"Zeeland - West-Brabant";"1471846"
"Oldambt";"1895";"Noord-Nederland";"1719039"
"Oldebroek";"0269";"Oost-Nederland";"3167052"
"Oldenzaal";"0173";"Oost-Nederland";"3167052"
"Olst-Wijhe";"1773";"Oost-Nederland";"3167052"
"Ommen";"0175";"Oost-Nederland";"3167052"
"Onderbanken";"0881";"Limburg";"1118054"
"Oost Gelre";"1586";"Oost-Nederland";"3167052"
"Oosterhout";"0826";"Zeeland - West-Brabant";"1471846"
"Ooststellingwerf";"0085";"Noord-Nederland";"1719039"
"Oostzaan";"0431";"Noord-Holland";"1506815"
"Opmeer";"0432";"Noord-Holland";"1506815"
"Opsterland";"0086";"Noord-Nederland";"1719039"
"Oss";"0828";"Oost-Brabant";"1398196"
"Oud-Beijerland";"0584";"Rotterdam";"1764400"
"Oude IJsselstreek";"1509";"Oost-Nederland";"3167052"
"Ouder-Amstel";"0437";"Amsterdam";"1008808"
"Oudewater";"0589";"Midden-Nederland";"1911552"
"Overbetuwe";"1734";"Oost-Nederland";"3167052"
"Papendrecht";"0590";"Rotterdam";"1764400"
"Peel en Maas";"1894";"Limburg";"1118054"
"Pekela";"0765";"Noord-Nederland";"1719039"
"Pijnacker-Nootdorp";"1926";"Den Haag";"1836384"
"Purmerend";"0439";"Noord-Holland";"1506815"
"Putten";"0273";"Oost-Nederland";"3167052"
"Raalte";"0177";"Oost-Nederland";"3167052"
"Reimerswaal";"0703";"Zeeland - West-Brabant";"1471846"
"Renkum";"0274";"Oost-Nederland";"3167052"
"Renswoude";"0339";"Midden-Nederland";"1911552"
"Reusel-De Mierden";"1667";"Oost-Brabant";"1398196"
"Rheden";"0275";"Oost-Nederland";"3167052"
"Rhenen";"0340";"Midden-Nederland";"1911552"
"Ridderkerk";"0597";"Rotterdam";"1764400"
"Rijnwaarden";"0196";"Oost-Nederland";"3167052"
"Rijssen-Holten";"1742";"Oost-Nederland";"3167052"
"Rijswijk";"0603";"Den Haag";"1836384"
"Roerdalen";"1669";"Limburg";"1118054"
"Roermond";"0957";"Limburg";"1118054"
"Roosendaal";"1674";"Zeeland - West-Brabant";"1471846"
"Rotterdam";"0599";"Rotterdam";"1764400"
"Rozendaal";"0277";"Oost-Nederland";"3167052"
"Rucphen";"0840";"Zeeland - West-Brabant";"1471846"
"Schagen";"0441";"Noord-Holland";"1506815"
"Scherpenzeel";"0279";"Oost-Nederland";"3167052"
"Schiedam";"0606";"Rotterdam";"1764400"
"Schiermonnikoog";"0088";"Noord-Nederland";"1719039"
"Schijndel";"0844";"Oost-Brabant";"1398196"
"Schinnen";"0962";"Limburg";"1118054"
"Schouwen-Duiveland";"1676";"Zeeland - West-Brabant";"1471846"
"Simpelveld";"0965";"Limburg";"1118054"
"Sint Anthonis";"1702";"Oost-Brabant";"1398196"
"Sint-Michielsgestel";"0845";"Oost-Brabant";"1398196"
"Sint-Oedenrode";"0846";"Oost-Brabant";"1398196"
"Sittard-Geleen";"1883";"Limburg";"1118054"
"Sliedrecht";"0610";"Rotterdam";"1764400"
"Slochteren";"0040";"Noord-Nederland";"1719039"
"Sluis";"1714";"Zeeland - West-Brabant";"1471846"
"Smallingerland";"0090";"Noord-Nederland";"1719039"
"Soest";"0342";"Midden-Nederland";"1911552"
"Someren";"0847";"Oost-Brabant";"1398196"
"Son en Breugel";"0848";"Oost-Brabant";"1398196"
"Stadskanaal";"0037";"Noord-Nederland";"1719039"
"Staphorst";"0180";"Oost-Nederland";"3167052"
"Stede Broec";"0532";"Noord-Holland";"1506815"
"Steenbergen";"0851";"Zeeland - West-Brabant";"1471846"
"Steenwijkerland";"1708";"Oost-Nederland";"3167052"
"Stein";"0971";"Limburg";"1118054"
"Stichtse Vecht";"1904";"Midden-Nederland";"1911552"
"Strijen";"0617";"Rotterdam";"1764400"
"Súdwest Fryslân";"1900";"Noord-Nederland";"1719039"
"Ten Boer";"0009";"Noord-Nederland";"1719039"
"Terneuzen";"0715";"Zeeland - West-Brabant";"1471846"
"Terschelling";"0093";"Noord-Nederland";"1719039"
"Texel";"0448";"Noord-Holland";"1506815"
"Teylingen";"1525";"Den Haag";"1836384"
"Tholen";"0716";"Zeeland - West-Brabant";"1471846"
"Tiel";"0281";"Oost-Nederland";"3167052"
"Tilburg";"0855";"Zeeland - West-Brabant";"1471846"
"Tubbergen";"0183";"Oost-Nederland";"3167052"
"Twenterand";"1700";"Oost-Nederland";"3167052"
"Tynaarlo";"1730";"Noord-Nederland";"1719039"
"Tytsjerksteradiel";"0737";"Noord-Nederland";"1719039"
"Uden";"0856";"Oost-Brabant";"1398196"
"Uitgeest";"0450";"Noord-Holland";"1506815"
"Uithoorn";"0451";"Amsterdam";"1008808"
"Urk";"0184";"Midden-Nederland";"1911552"
"Utrecht";"0344";"Midden-Nederland";"1911552"
"Utrechtse Heuvelrug";"1581";"Midden-Nederland";"1911552"
"Vaals";"0981";"Limburg";"1118054"
"Valkenburg aan de Geul";"0994";"Limburg";"1118054"
"Valkenswaard";"0858";"Oost-Brabant";"1398196"
"Veendam";"0047";"Noord-Nederland";"1719039"
"Veenendaal";"0345";"Midden-Nederland";"1911552"
"Veere";"0717";"Zeeland - West-Brabant";"1471846"
"Veghel";"0860";"Oost-Brabant";"1398196"
"Veldhoven";"0861";"Oost-Brabant";"1398196"
"Velsen";"0453";"Noord-Holland";"1506815"
"Venlo";"0983";"Limburg";"1118054"
"Venray";"0984";"Limburg";"1118054"
"Vianen";"0620";"Midden-Nederland";"1911552"
"Vlaardingen";"0622";"Rotterdam";"1764400"
"Vlagtwedde";"0048";"Noord-Nederland";"1719039"
"Vlieland";"0096";"Noord-Nederland";"1719039"
"Vlissingen";"0718";"Zeeland - West-Brabant";"1471846"
"Voerendaal";"0986";"Limburg";"1118054"
"Voorschoten";"0626";"Den Haag";"1836384"
"Voorst";"0285";"Oost-Nederland";"3167052"
"Vught";"0865";"Oost-Brabant";"1398196"
"Waalre";"0866";"Oost-Brabant";"1398196"
"Waalwijk";"0867";"Zeeland - West-Brabant";"1471846"
"Waddinxveen";"0627";"Den Haag";"1836384"
"Wageningen";"0289";"Oost-Nederland";"3167052"
"Wassenaar";"0629";"Den Haag";"1836384"
"Waterland";"0852";"Noord-Holland";"1506815"
