"Gemeente";"CBS";"Regionaal Informatie en Expertise Centra";"Inwoneraantal van regio"
"Pijnacker-Nootdorp";"1926";"RIEC Haaglanden / Hollands Midden";"1836384"
"Purmerend";"0439";"RIEC Noord-Holland";"1506815"
"Putten";"0273";"RIEC Oost-Nederland";"3167052"
"Raalte";"0177";"RIEC Oost-Nederland";"3167052"
"Reimerswaal";"0703";"RIEC Zuid-West Nederland";"1471846"
"Renkum";"0274";"RIEC Oost-Nederland";"3167052"
"Renswoude";"0339";"RIEC Midden Nederland";"1911552"
"Reusel-De Mierden";"1667";"RIEC Oost Brabant";"1398196"
"Rheden";"0275";"RIEC Oost-Nederland";"3167052"
"Rhenen";"0340";"RIEC Midden Nederland";"1911552"
"Ridderkerk";"0597";"RIEC Rotterdam";"1764400"
"Rijnwaarden";"0196";"RIEC Oost-Nederland";"3167052"
"Rijssen-Holten";"1742";"RIEC Oost-Nederland";"3167052"
"Rijswijk";"0603";"RIEC Haaglanden / Hollands Midden";"1836384"
"Roerdalen";"1669";"RIEC Limburg";"1118054"
"Roermond";"0957";"RIEC Limburg";"1118054"
"Roosendaal";"1674";"RIEC Zuid-West Nederland";"1471846"
"Rotterdam";"0599";"RIEC Rotterdam";"1764400"
"Rozendaal";"0277";"RIEC Oost-Nederland";"3167052"
"Rucphen";"0840";"RIEC Zuid-West Nederland";"1471846"
"Schagen";"0441";"RIEC Noord-Holland";"1506815"
"Scherpenzeel";"0279";"RIEC Oost-Nederland";"3167052"
"Schiedam";"0606";"RIEC Rotterdam";"1764400"
"Schiermonnikoog";"0088";"RIEC Noord";"1719039"
"Schijndel";"0844";"RIEC Oost Brabant";"1398196"
"Schinnen";"0962";"RIEC Limburg";"1118054"
"Schouwen-Duiveland";"1676";"RIEC Zuid-West Nederland";"1471846"
"Simpelveld";"0965";"RIEC Limburg";"1118054"
"Sint Anthonis";"1702";"RIEC Oost Brabant";"1398196"
"Sint-Michielsgestel";"0845";"RIEC Oost Brabant";"1398196"
"Sint-Oedenrode";"0846";"RIEC Oost Brabant";"1398196"
"Sittard-Geleen";"1883";"RIEC Limburg";"1118054"
"Sliedrecht";"0610";"RIEC Rotterdam";"1764400"
"Slochteren";"0040";"RIEC Noord";"1719039"
"Sluis";"1714";"RIEC Zuid-West Nederland";"1471846"
"Smallingerland";"0090";"RIEC Noord";"1719039"
"Soest";"0342";"RIEC Midden Nederland";"1911552"
"Someren";"0847";"RIEC Oost Brabant";"1398196"
"Son en Breugel";"0848";"RIEC Oost Brabant";"1398196"
"Stadskanaal";"0037";"RIEC Noord";"1719039"
"Staphorst";"0180";"RIEC Oost-Nederland";"3167052"
"Stede Broec";"0532";"RIEC Noord-Holland";"1506815"
"Steenbergen";"0851";"RIEC Zuid-West Nederland";"1471846"
"Steenwijkerland";"1708";"RIEC Oost-Nederland";"3167052"
"Stein";"0971";"RIEC Limburg";"1118054"
"Stichtse Vecht";"1904";"RIEC Midden Nederland";"1911552"
"Strijen";"0617";"RIEC Rotterdam";"1764400"
"Súdwest Fryslân";"1900";"RIEC Noord";"1719039"
"Ten Boer";"0009";"RIEC Noord";"1719039"
"Terneuzen";"0715";"RIEC Zuid-West Nederland";"1471846"
"Terschelling";"0093";"RIEC Noord";"1719039"
"Texel";"0448";"RIEC Noord-Holland";"1506815"
"Teylingen";"1525";"RIEC Haaglanden / Hollands Midden";"1836384"
"Tholen";"0716";"RIEC Zuid-West Nederland";"1471846"
"Tiel";"0281";"RIEC Oost-Nederland";"3167052"
"Tilburg";"0855";"RIEC Zuid-West Nederland";"1471846"
"Tubbergen";"0183";"RIEC Oost-Nederland";"3167052"
"Twenterand";"1700";"RIEC Oost-Nederland";"3167052"
"Tynaarlo";"1730";"RIEC Noord";"1719039"
"Tytsjerksteradiel";"0737";"RIEC Noord";"1719039"
"Uden";"0856";"RIEC Oost Brabant";"1398196"
"Uitgeest";"0450";"RIEC Noord-Holland";"1506815"
"Uithoorn";"0451";"RIEC Amsterdam";"1008808"
"Urk";"0184";"RIEC Midden Nederland";"1911552"
"Utrecht";"0344";"RIEC Midden Nederland";"1911552"
"Utrechtse Heuvelrug";"1581";"RIEC Midden Nederland";"1911552"
"Vaals";"0981";"RIEC Limburg";"1118054"
"Valkenburg aan de Geul";"0994";"RIEC Limburg";"1118054"
"Valkenswaard";"0858";"RIEC Oost Brabant";"1398196"
"Veendam";"0047";"RIEC Noord";"1719039"
"Veenendaal";"0345";"RIEC Midden Nederland";"1911552"
"Veere";"0717";"RIEC Zuid-West Nederland";"1471846"
"Veghel";"0860";"RIEC Oost Brabant";"1398196"
"Veldhoven";"0861";"RIEC Oost Brabant";"1398196"
"Velsen";"0453";"RIEC Noord-Holland";"1506815"
"Venlo";"0983";"RIEC Limburg";"1118054"
"Venray";"0984";"RIEC Limburg";"1118054"
"Vianen";"0620";"RIEC Midden Nederland";"1911552"
"Vlaardingen";"0622";"RIEC Rotterdam";"1764400"
"Vlagtwedde";"0048";"RIEC Noord";"1719039"
"Vlieland";"0096";"RIEC Noord";"1719039"
"Vlissingen";"0718";"RIEC Zuid-West Nederland";"1471846"
"Voerendaal";"0986";"RIEC Limburg";"1118054"
"Voorschoten";"0626";"RIEC Haaglanden / Hollands Midden";"1836384"
"Voorst";"0285";"RIEC Oost-Nederland";"3167052"
"Vught";"0865";"RIEC Oost Brabant";"1398196"
"Waalre";"0866";"RIEC Oost Brabant";"1398196"
"Waalwijk";"0867";"RIEC Zuid-West Nederland";"1471846"
"Waddinxveen";"0627";"RIEC Haaglanden / Hollands Midden";"1836384"
"Wageningen";"0289";"RIEC Oost-Nederland";"3167052"
"Wassenaar";"0629";"RIEC Haaglanden / Hollands Midden";"1836384"
"Waterland";"0852";"RIEC Noord-Holland";"1506815"
"Weert";"0988";"RIEC Limburg";"1118054"
"Weesp";"0457";"RIEC Midden Nederland";"1911552"
"Werkendam";"0870";"RIEC Zuid-West Nederland";"1471846"
"West Maas en Waal";"0668";"RIEC Oost-Nederland";"3167052"
"Westerveld";"1701";"RIEC Noord";"1719039"
"Westervoort";"0293";"RIEC Oost-Nederland";"3167052"
"Westland";"1783";"RIEC Haaglanden / Hollands Midden";"1836384"
"Weststellingwerf";"0098";"RIEC Noord";"1719039"
"Westvoorne";"0614";"RIEC Rotterdam";"1764400"
"Wierden";"0189";"RIEC Oost-Nederland";"3167052"
"Wijchen";"0296";"RIEC Oost-Nederland";"3167052"
"Wijdemeren";"1696";"RIEC Midden Nederland";"1911552"
"Wijk bij Duurstede";"0352";"RIEC Midden Nederland";"1911552"
"Winsum";"0053";"RIEC Noord";"1719039"
"Winterswijk";"0294";"RIEC Oost-Nederland";"3167052"
"Woensdrecht";"0873";"RIEC Zuid-West Nederland";"1471846"
"Woerden";"0632";"RIEC Midden Nederland";"1911552"
"Wormerland";"0880";"RIEC Noord-Holland";"1506815"
"Woudenberg";"0351";"RIEC Midden Nederland";"1911552"
"Woudrichem";"0874";"RIEC Zuid-West Nederland";"1471846"
"Zaanstad";"0479";"RIEC Noord-Holland";"1506815"
"Zaltbommel";"0297";"RIEC Oost-Nederland";"3167052"
"Zandvoort";"0473";"RIEC Noord-Holland";"1506815"
"Zederik";"0707";"RIEC Rotterdam";"1764400"
"Zeewolde";"0050";"RIEC Midden Nederland";"1911552"
"Zeist";"0355";"RIEC Midden Nederland";"1911552"
"Zevenaar";"0299";"RIEC Oost-Nederland";"3167052"
"Zoetermeer";"0637";"RIEC Haaglanden / Hollands Midden";"1836384"
"Zoeterwoude";"0638";"RIEC Haaglanden / Hollands Midden";"1836384"
"Zuidhorn";"0056";"RIEC Noord";"1719039"
"Zuidplas";"1892";"RIEC Haaglanden / Hollands Midden";"1836384"
"Zundert";"0879";"RIEC Zuid-West Nederland";"1471846"
"Zutphen";"0301";"RIEC Oost-Nederland";"3167052"
"Zwartewaterland";"1896";"RIEC Oost-Nederland";"3167052"
"Zwijndrecht";"0642";"RIEC Rotterdam";"1764400"
"Zwolle";"0193";"RIEC Oost-Nederland";"3167052"
