adm_pin,naam,afkorting
04060,Jurist bij de Rijksoverheid,JBR
04070,ICT'ers bij de Rijksoverheid,ICT
04080,Beleidsmedewerkers,BMEW
04111,Fiscalisten bij de Rijksoverheid,FRO
05000,Sector Rijksoverheid,SHR
06000,Sector Politie,SPOL
06201,Landelijke Eenheid,NP
06202,Amsterdam,PLA
06203,Den Haag,PLDH
06212,Zeeland - West-Brabant,PLZ
06220,Rijksrecherche,PRR
07000,Sector Provincies,SECP
07010,Provincie Drenthe,PDRE
07020,Provincie Flevoland,PFLL
07030,Provincie Fryslan,PFRY
07040,Provincie Gelderland,PGE
07050,Provincie Groningen,PGR
07060,Provincie Limburg,PLIM
07070,Provincie Noord-Brabant,PNB
07080,Provincie Noord-Holland,PNH
07090,Provincie Overijssel,POIJ
07100,Provincie Utrecht,PUTR
07110,Provincie Zeeland,PZEE
07120,Provincie Zuid-Holland,PZH
07122,Provincie Zuid-Holland - Directie Omgevingsdiensten (DO),DO
07123,Provincie Zuid-Holland - Directie Ruimte en Mobiliteit (DRM),DRM
07124,Provincie Zuid-Holland - Directie Leefomgeving en Bestuur (DLB),DLB
07125,Provincie Zuid-Holland - Dienst Beheer Infrastructuur (DBI),DBI
07126,Provincie Zuid-Holland - Groenservice Zuid-Holland (GZH),GZH
07127,Provincie Zuid-Holland - Dienst Muskusrattenbestrijding (DMRB),DMRB
07128,Provincie Zuid-Holland - Directie concernzaken,DIRC
07210,Interprovinciaal Overleg,IPO
07220,A&O Provincies,AOP
07230,Bij12,BIJ
07240,Randstedelijke Rekenkamer,RSRK
09000,Sector Waterschappen,SWS
09009,Hoogheemraadschap van Delfland,HHDL
09010,Waterschap De Dommel,WSDD
09012,Wetterskip Fryslân,WSFR
09015,Waterschap Groot Salland,WSGS
09017,Hoogheemraadschap Hollands Noorderkwartier,HHHN
09028,Waterschap Noorderzijlvest,WSNZ
09030,Waterschap Peel en Maasvallei,WSPM
09031,Waterschap Reest en Wieden,WSRW
09032,Waterschap Regge en Dinkel,WSRD
09033,Waterschap Rijn en IJssel,WSRY
09034,Hoogheemraadschap van Rijnland,HHRR
09035,Waterschap Rivierenland,WSRL
09036,Waterschap Roer en Overmaas,WSRO
09038,Hoogheemraadschap van Schieland en de Krimpenerwaard,HHSK
09040,Hoogheemraadschap De Stichtse Rijnlanden,HHSR
09041,Waterschap Vallei en Veluwe,WSVE
09042,Waterschap Velt en Vecht,WSVV
09043,Waterschap Veluwe,WSV
09045,Waterschap De Brabantse Delta,WSBD
09048,Waterschap Scheldestromen,WSZV
09049,Waterschap Zuiderzeeland,WSZZ
09050,Waterschap Hollandse Delta,WSHD
09051,Waterschap Vechtstromen,WVS
09052,A&O-fonds Waterschappen,AOFW
09100,Unie van Waterschappen,UNIW
11000,Zelfstandige Bestuursorganen,ZBSO
11002,Zorginstituut Nederland,CVZ
11003,Centraal Orgaan opvang asielzoekers,COA
11004,Bureau Financieel Toezicht,BFT
11005,Autoriteit Financiële Markten,AFM
12000,Werken in het MBO,WMBO
12100,Middelbaar Beroepsonderwijs en volwasseneneducatie,MBOV
12102,Albeda College,ALBC
12127,Lentiz Onderwijsgroep,LEOG
12146,ROC De Leijgraaf,RODL
12159,ROC Rivor,ROCR
12160,ROC Ter AA,ROTA
12177,Stichting Samenwerking Beroepsonderwijs Bedrijfsleven,SBB
12178,Stichting IJsselgraaf,SIJ
20000,Sector Hogescholen,WBHS
20003,Hogeschool Avans,HSAV
20011,Fontys Hogescholen,FTYS
20034,Hogeschool Inholland,HINH
20039,Hogeschool van Amsterdam,HSVA
20053,"PC Hogeschool Marnix Academie, Lerarenopleiding Basisonderwijs",HSMX
20061,Hogeschool Van Hall Larenstein (VHL),HVHL
20063,Vereniging Hogescholen,VERH
20100,Werken bij hogescholen,ZSTR
30000,Mobiliteitsbank,MBHR
30030,ICT Uitvoeringsorganisatie,ICTU
30040,Instituut Fysieke Veiligheid,NIFV
30050,"Skal, Bio Controle",SKAL
30060,Commissie van Toezicht betreffende de Inlichtingen- en Veiligheidsdiensten,CTIV
30070,Nederlands-Vlaamse Accreditatieorganisatie,NVAO
30080,Kansspelautoriteit,KSA
30090,CAK,CAK
30110,Stimuleringsfonds voor de Journalistiek,SVDJ
