"Gemeente";"CBS";"Passend Onderwijs - Voortgezet Onderwijs";"Inwoneraantal van regio"
"Reimerswaal";"0703";"VO-29-02";"135568"
"Renkum";"0274";"VO-25-06";"276306"
"Renswoude";"0339";"VO-25-11";"132645"
"Reusel-De Mierden";"1667";"VO-30-07";"484930"
"Rheden";"0275";"VO-25-01";"112944"
"Rhenen";"0340";"VO-25-10";"168626"
"Ridderkerk";"0597";"VO-28-10";"980696"
"Rijnwaarden";"0196";"VO-25-04";"83712"
"Rijssen-Holten";"1742";"VO-23-01";"224644"
"Rijswijk";"0603";"VO-28-06";"636804"
"Roerdalen";"1669";"VO-31-02";"183280"
"Roermond";"0957";"VO-31-02";"183280"
"Roosendaal";"1674";"VO-30-02";"143172"
"Rotterdam";"0599";"VO-28-10";"980696"
"Rozendaal";"0277";"VO-25-01";"112944"
"Rucphen";"0840";"VO-30-03";"412157"
"Schagen";"0441";"VO-27-01";"163711"
"Scherpenzeel";"0279";"VO-25-11";"132645"
"Schiedam";"0606";"VO-28-11";"199414"
"Schiermonnikoog";"0088";"VO-21-01";"304597"
"Schijndel";"0844";"VO-30-05";"324064"
"Schinnen";"0962";"VO-31-04";"148087"
"Schouwen-Duiveland";"1676";"VO-29-02";"135568"
"Simpelveld";"0965";"VO-31-06";"270927"
"Sint Anthonis";"1702";"VO-25-07";"450773"
"Sint-Michielsgestel";"0845";"VO-30-05";"324064"
"Sint-Oedenrode";"0846";"VO-30-06";"231641"
"Sittard-Geleen";"1883";"VO-31-04";"148087"
"Sliedrecht";"0610";"VO-28-13";"150446"
"Slochteren";"0040";"VO-20-02";"372218"
"Sluis";"1714";"VO-29-03";"105679"
"Smallingerland";"0090";"VO-21-02";"297983"
"Soest";"0342";"VO-26-02";"284500"
"Someren";"0847";"VO-30-08";"257151"
"Son en Breugel";"0848";"VO-30-07";"484930"
"Stadskanaal";"0037";"VO-20-02";"372218"
"Staphorst";"0180";"VO-23-05";"389750"
"Stede Broec";"0532";"VO-27-02";"208394"
"Steenbergen";"0851";"VO-30-01";"137032"
"Steenwijkerland";"1708";"VO-22-03";"173607"
"Stein";"0971";"VO-31-04";"148087"
"Stichtse Vecht";"1904";"VO-26-01";"398077"
"Strijen";"0617";"VO-28-10";"980696"
"Súdwest Fryslân";"1900";"VO-21-03";"146278"
"Ten Boer";"0009";"VO-20-01";"226820"
"Terneuzen";"0715";"VO-29-03";"105679"
"Terschelling";"0093";"VO-21-01";"304597"
"Texel";"0448";"VO-27-01";"163711"
"Teylingen";"1525";"VO-28-03";"184575"
"Tholen";"0716";"VO-30-01";"137032"
"Tiel";"0281";"VO-25-08";"156328"
"Tilburg";"0855";"VO-30-04";"300768"
"Tubbergen";"0183";"VO-23-01";"224644"
"Twenterand";"1700";"VO-23-01";"224644"
"Tynaarlo";"1730";"VO-22-01";"158223"
"Tytsjerksteradiel";"0737";"VO-21-02";"297983"
"Uden";"0856";"VO-30-06";"231641"
"Uitgeest";"0450";"VO-27-04";"126965"
"Uithoorn";"0451";"VO-27-09";"304385"
"Urk";"0184";"VO-24-02";"117457"
"Utrecht";"0344";"VO-26-01";"398077"
"Utrechtse Heuvelrug";"1581";"VO-26-03";"189919"
"Vaals";"0981";"VO-31-06";"270927"
"Valkenburg aan de Geul";"0994";"VO-31-05";"183026"
"Valkenswaard";"0858";"VO-30-07";"484930"
"Veendam";"0047";"VO-20-02";"372218"
"Veenendaal";"0345";"VO-25-11";"132645"
"Veere";"0717";"VO-29-01";"114029"
"Veghel";"0860";"VO-30-06";"231641"
"Veldhoven";"0861";"VO-30-07";"484930"
"Velsen";"0453";"VO-27-05";"294808"
"Venlo";"0983";"VO-31-01";"228841"
"Venray";"0984";"VO-31-01";"228841"
"Vianen";"0620";"VO-26-05";"177659"
"Vlaardingen";"0622";"VO-28-11";"199414"
"Vlagtwedde";"0048";"VO-22-02";"185054"
"Vlieland";"0096";"VO-21-01";"304597"
"Vlissingen";"0718";"VO-29-01";"114029"
"Voerendaal";"0986";"VO-31-06";"270927"
"Voorschoten";"0626";"VO-28-01";"256274"
"Voorst";"0285";"VO-25-05";"214194"
"Vught";"0865";"VO-30-05";"324064"
"Waalre";"0866";"VO-30-07";"484930"
"Waalwijk";"0867";"VO-30-09";"140128"
"Waddinxveen";"0627";"VO-28-02";"359411"
"Wageningen";"0289";"VO-25-10";"168626"
"Wassenaar";"0629";"VO-28-01";"256274"
"Waterland";"0852";"VO-27-07";"151879"
"Weert";"0988";"VO-31-03";"86229"
"Weesp";"0457";"VO-27-10";"255347"
"Werkendam";"0870";"VO-28-14";"168390"
"West Maas en Waal";"0668";"VO-25-07";"450773"
"Westerveld";"1701";"VO-22-03";"173607"
"Westervoort";"0293";"VO-25-04";"83712"
"Westland";"1783";"VO-28-08";"104275"
"Weststellingwerf";"0098";"VO-21-02";"297983"
"Westvoorne";"0614";"VO-28-12";"154438"
"Wierden";"0189";"VO-23-01";"224644"
"Wijchen";"0296";"VO-25-07";"450773"
"Wijdemeren";"1696";"VO-27-10";"255347"
"Wijk bij Duurstede";"0352";"VO-26-03";"189919"
"Winsum";"0053";"VO-20-02";"372218"
"Winterswijk";"0294";"VO-25-02";"187374"
"Woensdrecht";"0873";"VO-30-01";"137032"
"Woerden";"0632";"VO-26-04";"116835"
"Wormerland";"0880";"VO-27-06";"176354"
"Woudenberg";"0351";"VO-26-02";"284500"
"Woudrichem";"0874";"VO-30-09";"140128"
"Zaanstad";"0479";"VO-27-06";"176354"
"Zaltbommel";"0297";"VO-30-05";"324064"
"Zandvoort";"0473";"VO-27-05";"294808"
"Zederik";"0707";"VO-28-14";"168390"
"Zeewolde";"0050";"VO-25-09";"208398"
"Zeist";"0355";"VO-26-03";"189919"
"Zevenaar";"0299";"VO-25-04";"83712"
"Zoetermeer";"0637";"VO-28-07";"124024"
"Zoeterwoude";"0638";"VO-28-01";"256274"
"Zuidhorn";"0056";"VO-20-02";"372218"
"Zuidplas";"1892";"VO-28-02";"359411"
"Zundert";"0879";"VO-30-03";"412157"
"Zutphen";"0301";"VO-25-01";"112944"
"Zwartewaterland";"1896";"VO-23-05";"389750"
"Zwijndrecht";"0642";"VO-28-13";"150446"
"Zwolle";"0193";"VO-23-05";"389750"
