"Gemeente";"CBS";"GGD's";"Inwoneraantal van regio"
"Sliedrecht";"0610";"Dienst Gezondheid & Jeugd Zuid-Holland Zuid ";"483290"
"Slochteren";"0040";"GGD Groningen";"584104"
"Sluis";"1714";"GGD Zeeland";"380717"
"Smallingerland";"0090";"GGD Fryslân";"646324"
"Soest";"0342";"GGD Midden-Nederland";"1245265"
"Someren";"0847";"GGD Brabant-Zuidoost";"752485"
"Son en Breugel";"0848";"GGD Brabant-Zuidoost";"752485"
"Stadskanaal";"0037";"GGD Groningen";"584104"
"Staphorst";"0180";"GGD IJsselland";"514650"
"Stede Broec";"0532";"GGD Hollands-Noorden";"646991"
"Steenbergen";"0851";"GGD West-Brabant";"694612"
"Steenwijkerland";"1708";"GGD IJsselland";"514650"
"Stein";"0971";"GGD Zuid-Limburg";"602040"
"Stichtse Vecht";"1904";"GGD Midden-Nederland";"1245265"
"Strijen";"0617";"Dienst Gezondheid & Jeugd Zuid-Holland Zuid ";"483290"
"Súdwest Fryslân";"1900";"GGD Fryslân";"646324"
"Ten Boer";"0009";"GGD Groningen";"584104"
"Terneuzen";"0715";"GGD Zeeland";"380717"
"Terschelling";"0093";"GGD Fryslân";"646324"
"Texel";"0448";"GGD Hollands-Noorden";"646991"
"Teylingen";"1525";"GGD Hollands-Midden";"774476"
"Tholen";"0716";"GGD Zeeland";"380717"
"Tiel";"0281";"GGD Gelderland-Zuid";"543245"
"Tilburg";"0855";"GGD Hart voor Brabant";"1042228"
"Tubbergen";"0183";"GGD Regio Twente";"626009"
"Twenterand";"1700";"GGD Regio Twente";"626009"
"Tynaarlo";"1730";"GGD Drenthe";"488611"
"Tytsjerksteradiel";"0737";"GGD Fryslân";"646324"
"Uden";"0856";"GGD Hart voor Brabant";"1042228"
"Uitgeest";"0450";"GGD Kennemerland";"531591"
"Uithoorn";"0451";"GGD Amsterdam";"1008808"
"Urk";"0184";"GGD Flevoland";"401503"
"Utrecht";"0344";"GGD Midden-Nederland";"1245265"
"Utrechtse Heuvelrug";"1581";"GGD Midden-Nederland";"1245265"
"Vaals";"0981";"GGD Zuid-Limburg";"602040"
"Valkenburg aan de Geul";"0994";"GGD Zuid-Limburg";"602040"
"Valkenswaard";"0858";"GGD Brabant-Zuidoost";"752485"
"Veendam";"0047";"GGD Groningen";"584104"
"Veenendaal";"0345";"GGD Midden-Nederland";"1245265"
"Veere";"0717";"GGD Zeeland";"380717"
"Veghel";"0860";"GGD Hart voor Brabant";"1042228"
"Veldhoven";"0861";"GGD Brabant-Zuidoost";"752485"
"Velsen";"0453";"GGD Kennemerland";"531591"
"Venlo";"0983";"GGD Limburg-Noord";"516014"
"Venray";"0984";"GGD Limburg-Noord";"516014"
"Vianen";"0620";"GGD Midden-Nederland";"1245265"
"Vlaardingen";"0622";"GGD Rotterdam-Rijnmond";"1279414"
"Vlagtwedde";"0048";"GGD Groningen";"584104"
"Vlieland";"0096";"GGD Fryslân";"646324"
"Vlissingen";"0718";"GGD Zeeland";"380717"
"Voerendaal";"0986";"GGD Zuid-Limburg";"602040"
"Voorschoten";"0626";"GGD Hollands-Midden";"774476"
"Voorst";"0285";"GGD Noord- en Oost-Gelderland";"812224"
"Vught";"0865";"GGD Hart voor Brabant";"1042228"
"Waalre";"0866";"GGD Brabant-Zuidoost";"752485"
"Waalwijk";"0867";"GGD Hart voor Brabant";"1042228"
"Waddinxveen";"0627";"GGD Hollands-Midden";"774476"
"Wageningen";"0289";"Hulpverlening Gelderland-Midden";"670924"
"Wassenaar";"0629";"GGD Haaglanden";"1045050"
"Waterland";"0852";"GGD Zaanstreek/Waterland";"328233"
"Weert";"0988";"GGD Limburg-Noord";"516014"
"Weesp";"0457";"GGD Gooi en Vechtstreek";"246540"
"Werkendam";"0870";"GGD West-Brabant";"694612"
"West Maas en Waal";"0668";"GGD Gelderland-Zuid";"543245"
"Westerveld";"1701";"GGD Drenthe";"488611"
"Westervoort";"0293";"Hulpverlening Gelderland-Midden";"670924"
"Westland";"1783";"GGD Haaglanden";"1045050"
"Weststellingwerf";"0098";"GGD Fryslân";"646324"
"Westvoorne";"0614";"GGD Rotterdam-Rijnmond";"1279414"
"Wierden";"0189";"GGD Regio Twente";"626009"
"Wijchen";"0296";"GGD Gelderland-Zuid";"543245"
"Wijdemeren";"1696";"GGD Gooi en Vechtstreek";"246540"
"Wijk bij Duurstede";"0352";"GGD Midden-Nederland";"1245265"
"Winsum";"0053";"GGD Groningen";"584104"
"Winterswijk";"0294";"GGD Noord- en Oost-Gelderland";"812224"
"Woensdrecht";"0873";"GGD West-Brabant";"694612"
"Woerden";"0632";"GGD Midden-Nederland";"1245265"
"Wormerland";"0880";"GGD Zaanstreek/Waterland";"328233"
"Woudenberg";"0351";"GGD Midden-Nederland";"1245265"
"Woudrichem";"0874";"GGD West-Brabant";"694612"
"Zaanstad";"0479";"GGD Zaanstreek/Waterland";"328233"
"Zaltbommel";"0297";"GGD Gelderland-Zuid";"543245"
"Zandvoort";"0473";"GGD Kennemerland";"531591"
"Zederik";"0707";"Dienst Gezondheid & Jeugd Zuid-Holland Zuid ";"483290"
"Zeewolde";"0050";"GGD Flevoland";"401503"
"Zeist";"0355";"GGD Midden-Nederland";"1245265"
"Zevenaar";"0299";"Hulpverlening Gelderland-Midden";"670924"
"Zoetermeer";"0637";"GGD Haaglanden";"1045050"
"Zoeterwoude";"0638";"GGD Hollands-Midden";"774476"
"Zuidhorn";"0056";"GGD Groningen";"584104"
"Zuidplas";"1892";"GGD Hollands-Midden";"774476"
"Zundert";"0879";"GGD West-Brabant";"694612"
"Zutphen";"0301";"GGD Noord- en Oost-Gelderland";"812224"
"Zwartewaterland";"1896";"GGD IJsselland";"514650"
"Zwijndrecht";"0642";"Dienst Gezondheid & Jeugd Zuid-Holland Zuid ";"483290"
"Zwolle";"0193";"GGD IJsselland";"514650"
