"actorenId","actorenName","actorenComment"
"10648/8475be48-0da1-4230-bfcf-70d19193670f","Stafbureau Juridische Zaken VO/J (OenW)","1976-1991"
"10648/4cdb8630-230a-45aa-9be0-6b7c184ad3f6","Stafdirectie Financiële Aangelegenheden VO/FA (OenW)","1976-1991"
"10648/d0248138-e05a-44d1-90ad-ca6982a7f080","College voor de bloedtransfusie van het Nederlandse Rode Kruis (WVC, VWS)","1988-1998"
"10648/ca213272-3525-45c8-9ecb-4be02db6a69a","Stafdirectie Beleid en Bestuur VO/BB (OenW)","1985-1991"
"10648/a11ac2e6-ec37-469a-accd-f164ebe9108e","Nationale Commissie Chronisch Zieken (WVC, VWS)","1991-1999"
"10648/6854a536-ae0a-4845-88ae-047290204871","Directie Voorzieningenplanning en Huisvesting (OenW)","1985-1991"
"10648/ce9f53c1-68d0-4e86-9d90-2e4301b81743","Eenheid Rijksonderwijs (OenW)","1988-1991"
"10648/8478be19-6678-4ace-a2ef-ebabae13ebd9","Stuurgroep Sport, Tolerance en Fair play (VWS)","1995-1998"
"10648/189198c6-22c5-4655-be29-81730b7bf089","Stafdirectie Financiële Zaken HW/F (OenW)","1975-1991"
"10648/b9ff9155-66bb-43bb-bc9e-0f76999bb998","Projectgroep Ontwikkeling Lokaal en Preventief Jeugdbeleid (VWS)","1995-1998"
"10648/6441ca45-2689-4655-b6a1-c3f221552aa1","Stafdirectie Bedrijfsvoering HW/B (OenW)","1983-1991"
"10648/04336d1b-c8c7-4dd1-a159-7fab2b448102","Stafdirectie Juridische Zaken HW/J (OenW)","1975-1991"
"10648/2244b942-8e79-40df-a565-15b17799bd07","Adviescommissie Bijwerkingen Geneesmiddelen (WVC, VWS)","1982-2004"
"10648/e5f7a38d-4c4b-435b-bc9a-b3c8e4064fc4","Directie Toekomstverkenningen (OenW)","1986-1991"
"10648/a8c169a4-8818-47dc-8a0e-29cc4e8cf6ef","Directie Beleidsvorming (OenW)","1986-1991"
"10648/2e524b9a-9a1b-409f-87ab-8cbab66d9f95","Directie Personeel Beleid HW/PB (OenW)","1986-1991"
"10648/86357599-2228-4535-98da-46c1bd9eef63","Directie Beleidsinstrumentatie (OenW)","1986-1991"
"10648/8159ea5b-80fb-48c2-8b8f-1803286ddc03","Raad voor Beroepen in de Individuele Gezondheidszorg (VWS)","1994-1997"
"10648/ae679599-7e17-4e6a-b76a-bcc9befd8ce9","Directie Instellingen Wetenschappelijke Onderwijs (OenW)","1988-1991"
"10648/0f976139-ac07-4aab-b2f6-fd5921560e5a","Directie Onderzoeksinstellingen (OenW)","1988-1991"
"10648/741ffcb9-8089-467a-8716-958e9012a074","Directie Huisvesting HW/H (OenW)","1988-1991"
"10648/3c9c72ce-baab-4fd0-8fc6-6832b9253b11","Stafbureau van het Directoraat-Generaal Diensten Onderwijs en Inspectie (OenW)","1984-1991"
"10648/eb85b998-a389-4a66-b2d5-c2d383d97392","Directie Voorzieningen (OenW)","1975-1991"
"10648/f29fc163-b653-4c99-a20e-8f566a10644b","Commissie Intersectoraal Jeugdbeleid (CRM, WVC, VWS)","1968-1997"
"10648/49df57d1-4fda-4e57-93a1-05fcdd4959ec","Raad voor het Jeugdbeleid (CRM, WVC, VWS)","1979-1997"
"10648/10522108-9bdd-4314-a9e6-a810f479ec77","Stuurgroep Regie in de Jeugdzorg (VWS)","1994-1996"
"10648/227688f3-ce3f-4fb3-9cf3-d2bccad35193","Directie Analyse en Evaluatie (OenW)","1979-1991"
"10648/2985bcee-bdb6-4535-926b-7ec329f6d96e","Directie Planning en Budgettering (OenW)","1979-1991"
"10648/1d40f0e3-6acd-4ddd-9b40-3a6f1084b5c7","Directie Organisatie en Informatiesystemen (OenW)","1979-1991"
"10648/093d3796-08c4-4055-aed3-271462bfbb41","Adviescommissie van de Bijzondere Commissie voor overleg in zaken betreffende de rechtspositie van het onderwijspersoneel (OenW)","1970-1991"
"10648/3a42abac-e6b1-4b2f-9431-8dd69109e2f5","Centraal Overlegorgaan Personeelszaken Wetenschappelijk Onderwijs (OenW)","1974-1991"
"10648/c5cd3e0e-f8eb-48fa-b746-e4cf2c8c9210","Centrale Commissie voor onderwijs overleg (OenW)","1972-1991"
"10648/5fb86ffd-d3d8-4e64-ae58-bc026e21b736","Overleg Orgaan Voortgezet Onderwijs (OenW)","1985-1991"
"10648/a27c0e83-5941-4fcf-a679-26010e7d6aea","Directie Vluchtelingen, Minderheden en Asielzoekers (WVC, VWS)","1989-1994"
"10648/6d00bc67-5a1d-43df-abc0-f75862edcbbb","Voorlopige Adviesraad voor het Voortgezet Onderwijs (OenW)","1987-1991"
"10648/95d5954e-c792-4c38-b9ca-a80bc25db97e","Interdepartementale Commissie Bevolkingszaken (OenW)","1984-1991"
"10648/4858299e-05fd-48c5-b63c-0df136aa4b49","Interdepartementale Commissie Volwasseneneducatie, waaronder Beroepseducatie voor Volwassenen (OenW)","1987-1991"
"10648/cba98728-b743-40b6-bd78-e55096ca1d42","Stichting 1940-1945 (CRM, WVC, VWS)","1945"
"10648/5ab88c56-7b09-4a59-8944-ad9a7d9438f6","Stichting Burgeroorlogsgetroffenen (CRM, WVC, VWS)","1981-2002"
"10648/f731417c-3300-4965-bf90-3849ec31ce4e","Stichting Joods Maatschappelijk Werk (CRM, WVC, VWS)","1946"
"10648/9d2cf68b-4142-46e8-a9c9-70be01d8bdec","Stichting Pelita (CRM, WVC, VWS)","1947"
"10648/20d66c93-ae90-44c8-8ca6-db2eaf2be50d","Adviescommissie Bijzondere Voorzieningen dienst- en reserveplichtig personeel KNIL (CRM, WVC, VWS)","1981-1995"
"10648/faf5494c-a8dc-4ed0-bf39-983477b3bfa0","Stuurgroep Toekomstscenario's Gezondheidszorg (WVC)","1983-1994"
"10648/fbf8f274-b559-480c-a188-d01988b8c3bb","Stichting stimuleringsfonds voor de Creatieve Industrie (OCW)","2012"
"10648/0487a8eb-e1eb-4290-a3ff-67829f0086e7","Ministerie van Volkshuisvesting, Ruimtelijke Ordening en Milieu","1982-2010"
"10648/868c5ca8-e061-45ec-af1c-4ea5c68b7205","Ministerie van Volkshuisvesting en Ruimtelijke Ordening","1965-1982"
"10648/4f786268-bedd-430a-8a41-87e542dbe9e2","Ministerie van Verkeer en Waterstaat","1947-2010"
"10648/9530f118-c76d-4aa9-93ee-fb091112db80","Ministerie van Infrastructuur en Milieu","2010"
"10648/4506e90d-ab0c-4644-9bd7-3e5e16c9c4aa","Kabinetszaken (OenW)","1975-1988"
"10648/b09b4e6c-f744-489f-a34e-397ac7b48c32","Civiele verdediging, beveiliging en bedrijfszelfbescherming (OenW)","1975-1982"
"10648/99e11e32-3017-457a-9afd-99a6c76d038a","Hoofdafdeling Rijksstudietoelagen (OenW)","1975"
"10648/4b656e00-297b-4e81-bc5f-600316934a87","Gemengde Commissies ter Uitvoering van diverse Cultuur Verdragen (Cluster) (OenW)","1975"
"10648/1a5ada27-20f2-45f0-880b-3de2e56694c1","Ministerie van Veiligheid en Justitie","2010"
"10648/39951f4b-4857-4ac2-8dd1-9fe0be3b4652","Ministerie van Algemene Zaken","1937"
"10648/99a92361-2e15-4fa0-a945-9a9308f10a92","Ministerie van Buitenlandse Zaken","1813"
"10648/a0e6a2a5-09c8-43a3-8b13-dd4f1935db96","Hoofddirectie Beleidsontwikkeling en Planning Voortgezet Onderwijs (OenW)","1975-1985"
"10648/a872ba5d-268b-43ff-bad9-0bd2efc58005","Ministerie van Economische Zaken (I)","1946-2010"
"10648/17980e35-1e2a-4cee-9d97-c23e770520f9","Hoofddirectie Beleidsontwikkeling en Planning Basisonderwijs (OenW)","1975-1984"
"10648/59c3d6bc-d2d7-4d75-a51b-827ec7cef71f","Hoofddirectie Instellingen Voortgezet Onderwijs (OenW)","1975-1985"
"10648/c960d53d-3b3d-4618-ac87-ffb08a3e7594","Directie Onderwijs en Vorming voor Werkende Jongeren (OenW)","1975-1985"
"10648/323759f0-c949-4923-8a51-2e0b5b36911c","Directie Bouwzaken Onderwijs (OenW)","1975-1984"
"10648/02a65d6e-07bd-493b-b268-9476e07ce1de","Directie Rechtspositiezaken Onderwijs (OenW)","1975-1977"
"10648/e573d267-006d-4aef-923c-f4e97711d970","Directie Scholing (OenW)","1975-1982"
"10648/4b9d6129-4b74-4c44-ba6b-977102f2ef92","Directie Onderwijsvernieuwing en Planning (OenW)","1975-1976"
"10648/4c2a13b2-2bb3-45a3-b92d-4fb71c742836","Coördinator Nieuwbouw Academische Ziekenhuizen (OenW)","1975-1977"
"10648/9513018a-6a27-4c0c-9e02-216cd0c7e1ed","Ministerie van Defensie","1813"
"10648/1bd49c0e-5669-410b-b559-7399d6910280","Hoofddirectie Onderzoekbeleid (OenW)","1975-1983"
"10648/e98fc344-9739-4038-a95c-3618da22e141","Directie Algemene beleidszaken (OenW)","1975-1983"
"10648/d5b288fa-7aee-4768-bb35-8298c243b21f","Directie Ruimteonderzoek, technologie en oceanografie (OenW)","1975-1983"
"10648/4bd32dbb-d2bb-4a18-b2e4-f40fe3f34480","Directie Geestes- en sociale wetenschappen (OenW)","1975-1983"
"10648/5609d95f-088e-47b5-976b-f4e1b4b02a20","Directie Natuur- en levenswetenschappen (OenW)","1975-1983"
"10648/ac7b4b7a-7ed6-4bfe-a4a8-174f24b48247","Directie Wetenschappelijke bibliotheken en informatieverspreiding (OenW)","1975-1983"
"10648/7d2b6eb9-3f8a-461f-97a8-998397337c96","Hoofddirectie Onderwijsbeleid (OenW)","1975-1983"
"10648/fb3f3c42-c7a3-4928-9018-bf75d408a051","Directie Onderwijsstructuur (OenW)","1975-1983"
"10648/36735d28-8957-4bf3-8f44-9f5978caba60","Directie Institutionele structuren (OenW)","1975-1983"
"10648/b2bd608d-8971-476f-9a4d-f99ad6fe792f","Directie Algemene Studiezaken (OenW)","1975-1983"
"10648/cc676256-cd3a-4a0f-82e7-a178454931cd","Programmaministerie voor Wonen, Wijken en Integratie","2007-2010"
"10648/95e1a45d-b955-4e77-b32e-594b8acd3e70","Hoofddirectie Instellingen en Opleidingsziekenhuizen (OenW)","1975-1983"
"10648/fa8bf2eb-d91a-48cc-831b-4059d330213f","Directie Algemene personele zaken wetenschappen (OenW)","1975"
"10648/4c170994-e73b-407d-8ecf-1246d9cea334","Directie Investeringen en doelmatigheid (OenW)","1975"
"10648/840356cb-4cbe-4541-945e-0c2f8ff674a3","Directie instellingen W.O. (Wetenschappelijk Onderwijs) (OenW)","1975"
"10648/19cb4a11-aef8-4f7e-aee6-bf47397dc37c","Directie Opleidingsziekenhuizen (OenW)","1975"
"10648/21a2dcc9-84d7-4e2c-aa39-dfc9c18b64bf","Programmaministerie voor Vreemdelingenzaken en Integratie","2002-2007"
"10648/b82a16f0-c9ff-4ad2-8a7e-a497f08f246f","Commissie Keuzen in de Zorg (WVC)","1990-1992"
"10648/227ed2a6-3161-4b1e-ab0f-b1e0d51573e8","Centrale Commissie voor de Bejaardenoorden (CRM, WVC)","1972-1993"
"10648/bc699df8-a2ac-43f9-8211-4951f2a88b14","Raad voor het Ouderenbeleid (WVC, VWS)","1988-1996"
"10648/681fd478-e8de-4f75-9986-bfee58b2720a","Tijdelijke Commissie voor de Welzijnsinformatievoorziening (WVC)","1991-1993"
"10648/883347e8-e4f6-4d67-ae33-1fa36617c935","Buitengewone Pensioenraad (CRM, WVC)","1957-1990"
"10648/0db721ba-e46c-4ab4-b19a-7ecf503dd33d","Uitkeringsraad Vervolgingsslachtoffers 1940-1945 (CRM, WVC)","1972-1990"
"10648/6181bde9-4b05-4d33-a3fe-aca634b3e78f","Raad Uitkeringen Burger-Oorlogsslachtoffers (WVC)","1984-1990"
"10648/2530e3de-9518-4c62-a126-115b45449dc9","Centrale directie Uitvoering Rechtspositieregelingen Onderwijspersoneel (OenW)","1975-1988"
"10648/f3f511b3-9525-414f-98ba-bde63d078f2a","Werkcomité Internationaal Sociaal Welzijn (CRM)","1965"
"10648/5d8884bb-2d43-4668-8ad4-0e6691a4017c","Raad voor de Jeugdvorming (CRM)","1954-1979"
"10648/a658f22a-edd0-4f71-822f-76b29f016438","Interdepartementale Stuurgroep Jeugdvragen (CRM)","1967-1980"
"10648/ba85ee42-9cc4-47e1-b8b1-b693b2d01b3a","Commissie Vormings- en Ontwikkelingswerk voor volwassenen (CRM)","1970-1982"
"10648/dbd92abe-1bed-4dfb-8e4f-51e9209366df","Interdepartementale werkgroep voor aangelegenheden op het gebied van de lichamelijke vorming en de sport (CRM)","1970-1979"
"10648/56187f09-4a4d-483d-9ac1-006de1e62ed3","Interdepartementale Commissie Bijzonder Regionaal Welzijnsbeleid (CRM)","1968-1976"
"10648/d2139e7b-f000-43f1-b65c-79350923f291","Adviescommissie onderzoek positie culturele minderheden in de Nederlandse samenleving (CRM)","1978-1992"
"10648/7d68f225-2766-4070-8afa-6cf8c9df446f","Contactcommissie voor Dagverblijven ten behoeve van Gehandicapten (CRM)","1965-1976"
"10648/19c42e87-cd0a-43d2-9d79-378d4002e7c7","Contactcommissie Bureaus voor Levens- en Gezinsvragen (CRM, WVC)","1975-1983"
"10648/6df0015a-9ef2-4089-822b-cb1fc7704936","Commissie van Advies inzake Sportieve Recreatie (CRM)","1974-1977"
"10648/6ca8c55a-aa70-428d-b170-d8a79eb4a5ff","Directie Verzorgingstructuur (OenW)","1977-1982"
"10648/c36cda2c-158e-40c7-b4fb-d08b0e52e546","Stafdirectie Financiële zaken OB/FZ (OenW)","1975-1983"
"10648/e45c3f96-b851-4fe8-b477-b20e3b7744be","Stafdirectie Personeelszaken OB/PZ (OenW)","1975-1983"
"10648/c946179d-912c-474d-8e7d-6171b805bd11","Commissie Bezwaarschriften Wet-AROB (WVC)","1982-1993"
"10648/5f1f452d-58c2-43f1-96c6-383cdc8efc67","Commissie Bezwaarschriften Awb (WVC, VWS)","1993"
"10648/f1b024aa-b16c-4a7a-b225-64505b8f51d9","Inspraakorgaan Welzijn Molukkers (CRM, WVC)","1976-1994"
"10648/d30eb031-3ad0-4a59-a287-00ca2929e3cb","Interdepartementale Coördinatiecommissie Welzijnsbeleid (WVC)","1985-1990"
"10648/52897ac2-d1c9-4579-a478-58f43e3d45dc","Directie Voorbereiding VO/VB (OenW)","1976-1985"
"10648/f4486a7f-c9bc-449a-8039-0ab22ad443be","Directie Voorbereiding BO/VB","1976-1984"
"10648/d8c58372-596c-4f25-892c-1b6182ef9cec","Directie Vernieuwingsprojecten BO/VP (OenW)","1976-1984"
"10648/60b9cc6f-17c8-4ac4-87d3-86e8714d3282","Directie Vernieuwingsprojecten VO/VP (OenW)","1976-1985"
"10648/ea4b4a64-b409-4ef1-86d6-6c6bf5a60277","Commissie Welzijn Molukkers (CRM)","1975-1976"
"10648/a417babc-2edb-4a99-a078-affa5181b152","Commissie van Advies ex artikel 38 van de Woonwagenwet (CRM, VRO, VROM, BZK)","1968-1987"
"10648/f4e25367-c9df-4963-91ba-f3f1d913f5f0","Centrale Directie Beheer en Uitvoering (OenW)","1977-1988"
"10648/7eea88a8-a960-42af-9615-3b9952e79998","Directie Internationale Samenwerking (OenW)","1979-1991"
"10648/3d55708a-46d5-400a-be6a-316b047d02c3","Interdepartementale Commissie Woonwagenbeleid (CRM)","1974-1977"
"10648/9539d51d-2667-4e12-b95d-4be9dacf7bb1","Directie Beheer Infrastructuur (OenW)","1979-1991"
"10648/2e2950c4-e22d-4c4d-8242-f5b124466221","Directie Welzijn Minderheden (CRM, WVC)","1978-1984"
"10648/13e8ccc9-fb21-4aea-8290-10052ccaa6f8","Voorlichtingsdienst Wetenschapsbeleid (OenW)","1980-1984"
"10648/9a7ae8aa-5378-4c95-aa0a-bab119b1e770","Stafbureau Juridische Zaken Diensten Onderwijs en Inspectie (OenW)","1977-1987"
"10648/1fbd441e-41af-4380-8da0-ededa58746eb","Commissie voor Contact en Overleg inzake Surinamers in Nederland (CRM)","1966-1977"
"10648/29381116-6e6f-479f-8d98-6c2f1bd6e70a","Stafbureau Financieel/Economische Zaken Diensten Onderwijs en Inspectie (OenW)","1977-1987"
"10648/bdd5f7ae-637a-4c1c-930b-cb843c95ba49","Interdepartementale Commissie voor Beleidscoördinatie ten behoeve van Migranten uit Suriname en de Nederlandse Antillen (CRM)","1975-1979"
"10648/76b85e1f-fe02-4d00-b0cb-fe1ae73b38c1","Commissie voor Contact en Overleg inzake welzijnsbeleid t.b.v. het welzijnsbeleid buitenlandse werknemers en hun familie (CRM, WVC)","1964-1986"
"10648/0ac0ace2-f953-43f5-b865-1f5bc9248034","Onderwijs en Informatietechnologie (OenW)","1984-1988"
"10648/e41c025f-c08c-4c73-9f70-d11a31271a35","Nederlandse Vrouwenraad (CRM)","1975-1980"
"10648/221be23d-e825-4c2a-a494-6a50d85cc057","Nationale Adviescommissie Emancipatie (CRM)","1980-1981"
"10648/4b382d23-3b33-4487-99a2-d8ec42cf0edc","Commissie Bijzonder Jeugdwerk in Internaatsverband (CRM)","1969-1979"
"10648/9216edde-f886-4878-8c14-744492364d43","Instituut voor Onderzoek van het Onderwijs (OenW)","1975-1991"
"10648/ad20ace8-da68-4cb8-ad11-1639995e2271","Commissie van Toezicht Bescherming Persoonsgegevens (OCW)","2004-2010"
"10648/1d981c6a-670e-4f1f-83cf-70a89f1ece29","Project-bureau Volwassen-educatie (OenW)","1983-1987"
"10648/47fc1231-d10b-4bdd-820e-1defc0708d45","Rijkscommissie voor Geodesie (OenW)","1937-1989"
"10648/03747b4c-a1fb-408d-8122-ac70229fe5ad","Raad van Advies voor het Wetenschapsbeleid (OenW)","1966-1989"
"10648/58776ded-1912-4d7b-bf81-73f31022c3bd","Commissie reken- en informatieverwerkende apparatuur wetenschappelijk onderwijs en -onderzoek (OenW)","1976-1991"
"10648/82fddc0f-aaa5-4cd7-b307-abc0afe2a487","Programma Commissie Programma-evaluatie (OenW)","1986-1992"
"10648/74a9a70a-1b49-414d-841a-04317b8a8add","Arbeidsvoorzieningsorganisatie (SZW)","1990-2004"
"10648/5cc8a58d-3877-4854-a59e-ee30fb3cdbdb","Centrale Organisatie Werk en Inkomen (SZW)","2002-2009"
"10648/835ce1ef-f4a9-4eb9-80ec-489f23b2273b","Landelijk Instituut Sociale Verzekeringen (SZW)","1975-2002"
"10648/4008a4fc-b1f7-4730-8a17-6124312d462c","Stichting Silicose Oud-Mijnwerkers (SZW)","1993-2003"
"10648/3d5bd307-ca76-458d-89fc-7753496f0203","Hoge Raad van Adel (BZK)","1814"
"10648/486561b3-8fdf-4387-a935-bae426380181","Octrooicentrum Nederland (EZ)","1910-2010"
"10648/634eda34-6f6d-4fd4-8e4e-9c1f7cddc7b7","Agentschap NL (EZ)","2010-2013"
"10648/5cdcacc3-31d0-4113-b4c0-542e85943afc","Algemene Leiding (EZ)","2010"
"10648/64d20918-7670-418b-9ce6-cc492cf58143","Kabinet voor Nederlands-Antilliaanse en Arubaanse Zaken","1975-1998"
"10648/4c01af5d-cc7c-4a04-9610-b12a99d2f60d","Kanselarij der Nederlandse Orden (BZK)","1844"
"10648/50505a90-7f0d-433c-823e-8338223211a0","Algemene Leiding (LNV)","1939-2010"
"10648/0becc28a-5365-4de8-b8ac-3ac54d5ee358","Adviesraad voor het hoger onderwijs (OenW)","1985-1990"
"10648/e1834f1f-87e5-441b-8b62-0a8905503038","Raad van State","1814"
"10648/b2bec91d-cd98-4489-9c0d-4d57933112c1","RVE Adviescentrum Volwasseneneducatie (OenW)","1986-1990"
"10648/4c20ad7d-3957-4dbe-a6ba-b64fdad53721","Coördinatiecommisie evalutieplan voortgezet onderwijs (OenW)","1986-1990"
"10648/ef7c4c92-1954-47d3-b12f-feaeb9a8a184","Voorlopige Adviesraad voor het Basisonderwijs, het Speciaal Onderwijs en het Voortgezet Speciaal Onderwijs (OenW)","1987-1991"
"10648/9eeb3e65-5d08-4344-9a0d-799bcd94012e","Commissie vraag naar en aanbod van onderwijsgevenden in het voortgezet onderwijs (CWVO/ Prognosecommissie voortgezet onderwijs) (OenW)","1980-1990"
"10648/7715d675-e34b-4a59-a41c-12c30d990a53","Kabinet van de Koning","1840"
"10648/2265126e-128c-4b20-a28d-94bdd6a43043","Algemene Rekenkamer","1814"
"10648/12727d7b-24a5-4ba3-b09c-2ca75d55d335","Interdepartementale Stuurgroep Onderwijsvoorrangsbeleid (OenW)","1983-1990"
"10648/7cd8883a-69a9-47c9-a78d-22f4897900d2","Eerste Kamer der Staten-Generaal","1815"
"10648/e2c4e02b-e6e0-4842-8304-f8b4a95f4bff","Interdepartementale werkgroep regeling rijksuitkeringen kleuter- en lager onderwijs (LONDO/Werkgroep LONDO) (OenW)","1974-1989"
"10648/6c519402-bf04-4baa-81df-d6c8d69bfa52","Tweede Kamer der Staten-Generaal","1815"
"10648/c6c0998b-52d7-4396-aca9-9fcb9a483f37","Nationale Ombudsman","1982"
"10648/29bd849b-35b3-404e-ad05-ac9260606f8d","Raad Nationale Unesco Commissie (OenW)","1974-1988"
"10648/22b9c1c9-3c84-4c65-992a-24a8530ffd6a","Bibliotheekraad (OenW)","1975-1985"
"10648/134a5ea3-f958-4ef8-8176-e29b9d7adad5","Wetenschappelijke Raad voor de Kernenergie (OenW)","1963-1975"
"10648/8e07717a-16c1-432d-bdf6-bdc0444f3b7e","Algemene Leiding (EZ)","1946-2010"
"10648/01501a76-794a-4d44-9972-7fa50887a8bc","Algemene Leiding (VRO)","1965-1982"
"10648/dfa954e9-b34d-43ba-a128-9ca095e896c5","Algemene Leiding (VROM)","1982-2010"
"10648/803f99be-a814-4f36-baef-16fc97c3a1aa","Algemene Leiding (IenM)","2010"
"10648/4350b5cf-98ef-41b3-91fe-c8db402548fb","Algemene Leiding (VenW)","1946-2010"
"10648/4ce06cd0-ac82-4c5a-a275-662130db2e96","Algemene Leiding (BZ)","1975"
"10648/fa92c2eb-62fe-4764-bbef-387cfe53355b","Algemene Leiding (Defensie)","1975"
"10648/a685a466-2732-49a5-a468-a1e879632f72","Algemene Leiding (AZ)","1937"
"10648/38668d5f-959f-4763-9f2d-eaede2622205","Algemene Leiding (BZK)","1975"
"10648/3db47aa0-073e-430b-8c06-69ab857d9af3","Algemene Leiding (Justitie)","1975-2010"
"10648/a1cf41f3-6420-45da-8a71-38e14967d2cc","Algemene Leiding (VenJ)","2010"
"10648/1a56d57b-9274-4ba2-a5c4-da7543bdd624","Bedrijfschap voor de Groothandel en Tussenpersonen in Aardappelen (SER)","1955-2003"
"10648/ba2cc0fd-d06f-4f7f-95f0-46a3720d5b68","Stichting Zeldzame Huisdierrassen (LNV, EZ)","1976"
"10648/c17d83d2-9731-494a-a370-34d49afa066e","Stichting Examens Vakbekwaamheid Honden- en Kattenbesluit (LNV)","1981-2008"
"10648/d83fab89-0162-46a5-93ea-c5d903c4965c","Stichting Nederlandse Vleeswarencontrole (LNV)","1930-1982"
"10648/12ef173c-8777-4191-a538-3dc3d5b832e2","Rijksdienst voor de Keuring van Vee en Vlees (LNV)","1985-2002"
"10648/efe78dc9-a7a0-41f3-8c49-09189f597ec3","Stichting Registratie Gezelschapsdieren Nederland (LNV)","1981-2002"
"10648/1108f0c9-de42-4364-9e74-89211e75db22","Programmadirectie huisvesting (SZW)","2012"
"10648/ccd977d1-a75b-411e-821e-35433f969ba7","Directoraat-Generaal Bestuur en Koninkrijksrelaties (BZK)","2003-2015"
"10648/a44a32f1-d27e-45a2-86d8-7749894baa7f","Directoraat-Generaal Organisatie en Bedrijfsvoering Rijk (BZK)","2007-2015"
"10648/4f8755e9-3ecc-418d-8afd-72e28c649f63","Bureau Algemene Bestuursdienst (BZK)","1995"
"10648/8a379b2a-f06a-49e2-98d4-905c254b3722","Dienst Concernstaf en Bedrijfsvoering (BZK)","2008-2015"
"10648/4f518fcf-59a5-4041-932c-bfcca1dd204d","Algemene Inlichtingen- en Veiligheidsdienst (BZK)","2002"
"10648/669ca821-a720-4d1c-b98b-42b4d94a3924","Inspectie SZW (SZW)","2010"
"10648/49453cc1-fcf2-4295-bf61-b2b8ef04651e","Directie Analyse, Programmering en Signalering (SZW)","2011"
"10648/c91c787a-7194-45a6-989c-b22a4fbaf7fe","Directie Inspectieondersteuning en Informatiehuishouding (SZW)","2011"
"10648/26037306-fe95-4c50-af3d-6cfc94c7e0e9","Directie Opsporing (SZW)","2010"
"10648/21335db3-02ee-42e3-9aa2-f07ff3359bb7","Programmadirectie Werken naar Vermogen (SZW)","2009-2012"
"10648/d7224fe7-9579-489e-9cda-eee4b2a800d9","Commissie Ultimate Forward Rate (SZW)","2012-2013"
"10648/99102cea-8860-4b96-b52d-26ef8bcb0492","Begeleidingscommissie onderzoek pilots Werken naar vermogen (SZW)","2010-2014"
"10648/d6a0d9d5-9a12-4ad5-b2e5-8f7a31c6cddb","Audit Committee SZW (SZW)","2012"
"10648/27542c8d-8b75-4965-8d9f-43e54133064e","Adviescommissie Bezwaren Personeel SZW (SZW)","2009"
"10648/121a506d-f017-4b0f-acd7-5e744750b4a1","Raadsman SZW (SZW)","2011"
"10648/995ff9b5-38a4-43f8-9cf2-cf4fc3af48d4","Monitorcomité ESF Equal (SZW)","2009"
"10648/4b041006-363f-4681-b0c9-df95f7f95185","Toetsingscommissie Wet werk en bijstand (SZW)","2003"
"10648/b1cdbd3f-3b2c-48c0-afe8-8f9b23d3fad2","Klankbordgroep ESF 2007–2013 (SZW)","2008"
"10648/d746177a-1788-4702-bd05-786d581265d2","Monitorcomité ESF2 (SZW)","2007-2017"
"10648/5fe40e60-3b73-4a2e-a4e4-4eb7195d9415","Comité van experts Subsidieregeling ESF 2007-2013/Actie C (SZW)","2009-2021"
"10648/04f3d033-d577-4a6e-85c6-4aaadc892fd4","Directie Radio, Televisie en Pers (CRM, WVC)","1975-1988"
"10648/91d8ddce-a54c-41eb-b714-62ecb1e58d13","Comité van Experts subsidieregeling ESF 2007-2013/Actie E (SZW)","2009-2021"
"10648/793fde66-e754-440d-8a58-6831a269d0e1","Directie Musea, Monumenten en Archieven (CRM, WVC)","1975-1988"
"10648/cfb9e26c-255d-466b-8e5d-54ee5a2db1bf","Bureau Werkgelegenheids- en Investeringsprojecten Cultuur (WVC)","1987-1992"
"10648/4d272b4e-1b53-400f-a5d4-6a3b4f3c4c1e","Bureau Managementontwikkeling en -Ondersteuning (WVC)","1988-1990"
"10648/66107465-a3b1-4ac9-8a7e-d209532d4658","Stafafdeling Culturele Zaken (CRM, WVC)","1975-1987"
"10648/60337fbd-6da3-4b3e-bd04-e083d98da2cb","Rijksarchiefschool (CRM, WVC, OCW)","1969-1996"
"10648/38b39030-3ab9-4d23-900f-02f54aee4491","Rijksdienst Beeldende Kunst (WVC)","1985-1994"
"10648/7dc9e947-859d-40e5-b8be-71a77f247b31","Museum Catharijneconvent (CRM, WVC)","1975-1994"
"10648/be4ea4da-bbee-4427-bf39-5672778752dc","Rijksmuseum Gevangenpoort (CRM, WVC)","1875"
"10648/aa047436-4a64-4566-b264-766f85b7ad6e","Ruïne van Brederode (CRM, WVC)","1975-1994"
"10648/4bfd1112-6cd5-469b-b1f1-bfcbb5dc9719","Ruïne van Teylingen (CRM, WVC)","1975-1994"
"10648/f8b516fd-c52c-4d2a-995c-868cf8f805fd","Directoraat-Generaal Bereikbaarheid (IenM)","2010"
"10648/74b8f74e-d2c0-40ac-9200-7dc6bf703baf","Directoraat-Generaal Milieu en Internationaal (IenM)","2010"
"10648/0ed98eae-227e-4e24-ae0f-9987c6d27c26","Directoraat-Generaal Ruimte en Water (IenM)","2010"
"10648/184d3e0c-7c14-46f3-b411-0bc0b85751d3","Directoraat-Generaal Internationale Aangelegenheden en Vreemdelingenzaken (Justitie)","1996-2006"
"10648/2205b2c3-1d37-435f-b016-c06f6e1ad978","Rijkswaterstaat (VenW, IenM)","1971"
"10648/b8d91e27-fb71-4dc9-8056-db391ccc5909","Inspectie Leefomgeving en Transport (IenM)","2012"
