Domain Name,Domain Type,Agency
autoriteitnvs.nl,Rijksoverheid,Ministerie van Infrastructuur en Milieu
serbia.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
saudiarabia.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
oman.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
newzealand.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
egypt-ar.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
dienstterugkeerenvertrek.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
hollandinvietnam.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
georgia.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
cfv.nl,Rijksoverheid,Ministerie van Binnenlandse Zaken
singapore.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
zuidafrika.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
nak.nl,Rijksoverheid,Ministerie van Economische Zaken
espana.nlembajada.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
kasteelgroeneveld.nl,Rijksoverheid,Ministerie van Economische Zaken
p-direkt.nl,Rijksoverheid,Ministerie van Binnenlandse Zaken
egypt.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
oekraine.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
hongkong.nlconsulate.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
brasil.nlembaixada.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
dusseldorf.nlconsulaat.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
dominicaanserepubliek.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
nigeria.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
vae.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
shanghai-cn.nlconsulate.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
italie.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
kenia.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
nieuwbouweurojust.nl,Rijksoverheid,Ministerie van Binnenlandse Zaken
lebanon.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
mexico.nlembajada.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
kuwait.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
meldknop.nl,Rijksoverheid,Ministerie van Economische Zaken
india.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
peru.nlembajada.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
bangladesh.nlembassy.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
senegal.nlambassade.org,Rijksoverheid,Ministerie van Buitenlandse Zaken
earonline.nl,Rijksoverheid,Ministerie van Binnenlandse Zaken
echtscheidingsplan.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
forensischezorg.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
ifv.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
infoterugkeer.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
kcwj.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
landelijkeadviescommissieplaatsing.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
lbio.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
ncsc.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
nifpnet.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
rijksrecherche.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
schadefonds.nl,Rijksoverheid,Ministerie van Veiligheid en Justitie
