"cbsId", "cbsName", "cbsComment"
"GM0119", "Meppel", "Gemeentelijke herindeling per 01-01-1998. <br>Begindatum voor 1830"
"GM0687", "Middelburg (Z.)", "Gemeentelijke herindeling per 01-01-1997. <br>Begindatum voor 1830"
"GM0559", "Middelharnis", "Opgeheven per 01-01-2013. <br>Begindatum voor 1830"
"GM1842", "Midden-Delfland", "Ontstaan per 01-01-2004"
"GM1731", "Midden-Drenthe", "Naamswijziging per 01-01-2000"
"GM0815", "Mill en Sint Hubert", "Begindatum voor 1830"
"GM0265", "Millingen aan de Rijn", "Opgeheven per 01-01-2015. <br>Naamswijziging per 01-01-1954"
"GM1709", "Moerdijk", "Naamswijziging per 04-04-1998"
"GM1955", "Montferland", "Ontstaan per 01-01-2005"
"GM0335", "Montfoort", "Begindatum voor 1830"
"GM0944", "Mook en Middelaar", "Begindatum 02-01-1839"
"GM0424", "Muiden", "Begindatum voor 1830"
"GM0425", "Naarden", "Begindatum voor 1830"
"GM1740", "Neder-Betuwe", "Naamswijziging per 01-04-2003"
"GM0643", "Nederlek", "Opgeheven per 01-01-2015. <br>Ontstaan per 01-01-1985"
"GM0946", "Nederweert", "Begindatum 02-01-1839"
"GM0304", "Neerijnen", "Ontstaan per 01-01-1978"
"GM0356", "Nieuwegein", "Ontstaan per 01-07-1971"
"GM0569", "Nieuwkoop", "Gemeentelijke herindeling per 01-01-2007. <br>Begindatum voor 1830"
"GM0571", "Nieuw-Lekkerland", "Opgeheven per 01-01-2013. <br>Begindatum voor 1830"
"GM0267", "Nijkerk", "Gemeentelijke herindeling per 01-01-2000. <br>Begindatum voor 1830"
"GM0268", "Nijmegen", "Begindatum voor 1830"
"GM1695", "Noord-Beveland", "Ontstaan per 01-01-1995"
"GM1699", "Noordenveld", "Ontstaan per 01-01-1998"
"GM0171", "Noordoostpolder", "Provinciale wijziging per 01-01-1986. <br>Naamswijziging per 01-07-1962"
"GM0575", "Noordwijk", "Begindatum voor 1830"
"GM0576", "Noordwijkerhout", "Begindatum voor 1830"
"GM0820", "Nuenen, Gerwen en Nederwetten", "Begindatum voor 1830"
"GM0302", "Nunspeet", "Ontstaan per 01-01-1972"
"GM0951", "Nuth", "Begindatum 02-01-1839"
"GM0579", "Oegstgeest", "Begindatum voor 1830"
"GM0823", "Oirschot", "Gemeentelijke herindeling per 01-01-1997. <br>Begindatum voor 1830"
"GM0824", "Oisterwijk", "Gemeentelijke herindeling per 01-01-1997. <br>Begindatum voor 1830"
"GM1895", "Oldambt", "Ontstaan per 01-01-2010"
"GM0269", "Oldebroek", "Begindatum voor 1830"
"GM0173", "Oldenzaal", "Begindatum voor 1830"
"GM1773", "Olst-Wijhe", "Naamswijziging per 26-03-2002"
"GM0175", "Ommen", "Begindatum 01-05-1923"
"GM0881", "Onderbanken", "Ontstaan per 01-01-1982"
"GM1586", "Oost Gelre", "Naamswijziging per 19-05-2006"
"GM0826", "Oosterhout", "Begindatum voor 1830"
"GM0580", "Oostflakkee", "Opgeheven per 01-01-2013. <br>Ontstaan per 01-01-1966"
"GM0085", "Ooststellingwerf", "Begindatum voor 1830"
"GM0431", "Oostzaan", "Begindatum voor 1830"
"GM0432", "Opmeer", "Begindatum voor 1830"
"GM0086", "Opsterland", "Begindatum voor 1830"
"GM0828", "Oss", "Gemeentelijke herindeling per 01-01-2015. <br>Gemeentelijke herindeling per 01-01-2011. <br>Gemeentelijke herindeling per 01-01-2003. <br>Gemeentelijke herindeling per 01-01-1994. <br>Begindatum voor 1830"
"GM0584", "Oud-Beijerland", "Begindatum voor 1830"
"GM1509", "Oude IJsselstreek", "Ontstaan per 01-01-2005"
"GM0437", "Ouder-Amstel", "Begindatum voor 1830"
"GM0644", "Ouderkerk", "Opgeheven per 01-01-2015. <br>Ontstaan per 01-01-1985"
"GM0589", "Oudewater", "Provinciale wijziging per 01-09-1970. <br>Begindatum voor 1830"
"GM1734", "Overbetuwe", "Ontstaan per 01-01-2001"
"GM0590", "Papendrecht", "Begindatum voor 1830"
