"cbsId","cbsIdCount","cbsName","cbsComment","cbsShort","cbsShortCount","cbsLong","cbsLongCount"
"GR0335","7","DCMR Milieudienst Rijnmond","DCMR Milieudienst Rijnmond","","","",""
"GR0400","7","Stadsregio Arnhem Nijmegen","Stadsregio Arnhem Nijmegen","","","",""
"GR0401","4","GR Veiligheid & Gezondheidsregio Groni..","GR Veiligheid & Gezondheidsregio Groningen","","","",""
"GR0412","7","Reinigingsdiensten RD4","Reinigingsdiensten RD4","","","",""
"GR0413","1","Samenwerkingsverband Ypenburg","Samenwerkingsverband Ypenburg","","","",""
"GR0421","7","Baanstede","Baanstede","","","",""
"GR0425","7","Gem. Reg. Samenwerkingsverband Noord-N..","Gem. Reg. Samenwerkingsverband Noord-Nederland","","","",""
"GR0435","7","Dienst Sociale Zaken En Werkgel. Noard..","Dienst Sociale Zaken En Werkgelegenheid Noardwest Fryslan","","","",""
"GR0442","7","GGD Hart voor Brabant","GGD Hart voor Brabant","","","",""
"GR0446","7","Werkvoorzieningsschap Fryslân-West","Werkvoorzieningsschap Fryslân-West","","","",""
"GR0448","7","Atlant Groep","Atlant Groep","","","",""
"GR0458","6","Ontwikkelingsmaatschappij Midden-IJsse..","Ontwikkelingsmaatschappij Midden-IJsselmonde","","","",""
"GR0462","6","Regionale sociale dienst Alblasserwaar..","Regionale sociale dienst Alblasserwaard-oost/Vijfheerenlanden","","","",""
"GR0466","7","Sociale Werkvoorziening Alpen a/d Rijn..","Sociale Werkvoorziening Alpen a/d Rijn..","","","",""
"GR0471","7","GGD Flevoland","GGD Flevoland","","","",""
"GR0472","7","Westrom","Westrom","","","",""
"GR0476","7","Veiligheids- en Gezondheidsregio Gelde..","Veiligheids- en Gezondheidsregio Gelderland","","","",""
"GR0485","7","GROGZ West Brabant","GROGZ West Brabant","","","",""
"GR0487","1","ISD Zuidwest-Fryslân","ISD Zuidwest-Fryslân","","","",""
"GR0494","7","Veiligheidsregio Noord Holland Noord","Veiligheidsregio Noord Holland Noord","","","",""
"GR0506","7","Diamantgroep","Diamantgroep","","","",""
"GR0508","1","Zeeland Seaports","Zeeland Seaports","","","",""
"GR0510","7","Werkvoorzieningsschap Regio Eindhoven ..","Werkvoorzieningsschap Regio Eindhoven ..","","","",""
"GR0516","3","RSD Kromme Rijn - Heuvelrug","RSD Kromme Rijn - Heuvelrug","","","",""
"GR0520","7","GGD Zuid Limburg","GGD Zuid Limburg","","","",""
"GR0528","3","Intergemeentelijke Sociale Dienst Midd..","Intergemeentelijke Sociale Dienst Midden Langstraat","","","",""
"GR0533","7","Werkvoorzieningsschap Centr. Overijsse..","Werkvoorzieningsschap Centr. Overijsse..","","","",""
"GR0539","7","GR Promen","GR Promen","","","",""
"GR0542","7","Werkvoorzieningsschap Oostelijk Zuid-L..","Werkvoorzieningsschap Oostelijk Zuid-Limburg","","","",""
"GR0587","7","OV-Bureau Groningen Drenthe","OV-Bureau Groningen Drenthe","","","",""
"GR0588","7","Veiligheidsregio Utrecht","Veiligheidsregio Utrecht","","","",""
"GR0594","7","ISD Noordoost","ISD Noordoost","","","",""
"GR0604","1","ISD Oldambt","ISD Oldambt","","","",""
"GR0613","5","ISD Kop van Noord Holland","ISD Kop van Noord Holland","","","",""
"GR0615","7","ISD Brunssum Onderbanken Landgraaf (IS..","ISD Brunssum Onderbanken Landgraaf (ISD BOL)","","","",""
"GR0617","7","Veiligheidsregio Rotterdam-Rijnmond","Veiligheidsregio Rotterdam-Rijnmond","","","",""
"GR0620","7","ISD Aa en Hunze Assen Tynaarlo","ISD Aa en Hunze Assen Tynaarlo","","","",""
"GR0621","7","Gemeenschappelijke Regeling De Drechts..","Gemeenschappelijke Regeling De Drechtsteden","","","",""
