collection_time,source_url,organisatienaam,oin,afgifte_datum
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Bunnik,00000001002691401000,25-09-2013
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Bunschoten,00000001002508631000,17-02-2011
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Buren,00000001807287684000,17-07-2013
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Capelle aan den IJssel,00000001001877045000,24-01-2012
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Castricum,00000001810243428000,28-10-2009
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Coevorden,00000001806300917000,31-03-2010
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Cranendonck,00000001001902660000,23-07-2014
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Cromstrijen,00000001006816150000,14-06-2010
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Cuijk,00000001802756803000,26-04-2013
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Culemborg,00000001001486809000,18-04-2014
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Dalfsen,00000001809249108000,09-10-2013
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente Dantumadiel,00000001001954805000,11-11-2009
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente De Bilt,00000001002313273000,12-01-2012
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente De Fryske Marren,00000001823770151000,03-04-2014
06/09/2016 23:07:01,https://register.digikoppeling.nl/overview/index?searchText=&offset=150&max=30&sort=sortName&order=asc,Gemeente De Marne,00000001009772443000,26-07-2012
