Datum aanvraag,Consent nummer,Aantal,Goederen omschrijving,land van herkomst,land van bestemming (**),Ad-hoc J/N (***),VP/AN (****),Vervoermiddel,Plaats van uitgang
10/14/2005,26093856,2,Kogelgeweren,Duitsland,Tanzania,N,,Vliegtuig,Schiphol
10/14/2005,25988884,1,Kogelgeweer en loop,VS,Tanzania,N,,Vliegtuig,Schiphol
10/14/2005,26026717,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
10/14/2005,26059658,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
10/14/2005,26085152,1,Kogelgeweer,Oostenrijk,Tanzania,N,,Vliegtuig,Schiphol
10/14/2005,26086590,5,Lopen,Polen,VK,N,,Vliegtuig,Schiphol
10/18/2005,26098955,"2,310",Patroonhulzen,Duitsland,VK,N,,Schip,Rotterdam
10/19/2005,26040655,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
10/19/2005,26099153,2,Kogelgeweren,Spanje,Tanzania,N,,Vliegtuig,Schiphol
10/19/2005,26099145,2,Kogelgeweren,Spanje,Tanzania,N,,Vliegtuig,Schiphol
10/19/2005,26099072,2,Kogelgeweren,Spanje,Tanzania,N,,Vliegtuig,Schiphol
10/19/2005,26091756,1,Kogelgeweer en 40 patronen,Italië,Tanzania,N,,Vliegtuig,Schiphol
10/19/2005,26066212,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
10/19/2005,26066239,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
10/19/2005,26059542,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
10/19/2005,26032520,2,Kogelgeweren,Zweden,Tanzania,N,,Vliegtuig,Schiphol
10/19/2005,26062322,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
10/19/2005,26098955,"2,310",Munitie,Duitsland,VK,N,,Vrachtwagen,Rotterdam
10/19/2005,26093171,1,Kogelgeweer,Italië,België,N,,Auto,Onbekend
10/19/2005,26089492,1,Kogelgeweer,Hongarije,Kazachstan,N,,Vliegtuig,Schiphol
10/19/2005,26089506,1,Combinatiegeweer,Hongarije,Kazachstan,N,,Vliegtuig,Schiphol
10/19/2005,26089484,1,Kogelgeweer,Hongarije,Kazachstan,N,,Vliegtuig,Schiphol
10/19/2005,26091640,1,Kogelgeweer,Hongarije,Kazachstan,N,,Vliegtuig,Schiphol
10/19/2005,26100968,1,Kogelgeweer,Frankrijk,Tanzania,N,,Vliegtuig,Schiphol
10/19/2005,26100666,"473,000",Patronen,Spanje,VS,N,,Schip,Rotterdam
10/19/2005,26099870,1,Wapen en toebehoren,Portugal,VS,N,,Schip,Rotterdam
10/19/2005,26095743,"2,400,000",Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
10/19/2005,Melding,200,kg. Explosieven,Duitsland,VS,N,,Schip,Rotterdam
10/20/2005,26099218,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
10/20/2005,26099064,1,Kogelgeweer,Denemarken,Zuid-Afrika,N,,Vliegtuig,Schiphol
10/20/2005,26040698,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
10/20/2005,26036445,3,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
10/20/2005,26099099,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
10/20/2005,26101891,230,Munitie,VK,Tanzania,N,,Vliegtuig,Schiphol
10/20/2005,26103169,2,Kogelgeweren en 60 munitie,VS,Tanzania,N,,Vliegtuig,Schiphol
10/20/2005,26093694,1,Kogelgeweer,Noorwegen,Namibië,N,,Vliegtuig,Schiphol
10/20/2005,26093708,1,Kogelgeweer,Noorwegen,Namibië,N,,Vliegtuig,Schiphol
10/20/2005,26093716,1,Kogelgeweer,Noorwegen,Namibië,N,,Vliegtuig,Schiphol
10/20/2005,26093724,1,Kogelgeweer,Noorwegen,Namibië,N,,Vliegtuig,Schiphol
10/20/2005,26082447,1,Kogelgeweer,Frankrijk,Tanzania,N,,Vliegtuig,Schiphol
10/20/2005,26066123,1,Kogelgeweer,Frankrijk,Tanzania,N,,Vliegtuig,Schiphol
10/20/2005,26066220,1,Kogelgeweer,Frankrijk,Tanzania,N,,Vliegtuig,Schiphol
10/20/2005,26099102,1,Kogelgeweer,Frankrijk,Tanzania,N,,Vliegtuig,Schiphol
10/20/2005,26100941,1,Combinatiegeweer,VS,Polen,N,,Vliegtuig,Schiphol
10/20/2005,26062209,2,Kogelgeweren,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
10/20/2005,26105234,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
10/20/2005,26062330,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
10/20/2005,26062349,1,Kogelgeweer,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
10/20/2005,26089867,1,Kogelgeweer,Italië,VK,N,,Vliegtuig,Schiphol
10/20/2005,26093155,1,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
10/20/2005,26105528,1,Kogelgeweer,Spanje,Tanzania,N,,Vliegtuig,Schiphol
10/24/2005,26108934,800,Munitie,VS,Israël,N,,Vliegtuig,Schiphol
10/24/2005,26073677,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
10/24/2005,26107245,2,Kogelgeweren,Spanje,Tanzania,N,,Vliegtuig,Schiphol
10/24/2005,26107210,1,"Kogelgeweer, 1 kist munitie",Spanje,Tanzania,N,,Vliegtuig,Schiphol
10/24/2005,26107229,1,"Kogelgeweer, 1 kist munitie",Spanje,Tanzania,N,,Vliegtuig,Schiphol
10/24/2005,26073642,1,"Kogelgeweer, 1 kist munitie",Frankrijk,Tanzania,N,,Vliegtuig,Schiphol
10/24/2005,26100925,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
10/24/2005,26107288,1,"Kogelgeweer, 40 munitie",Luxemburg,Tanzania,N,,Vliegtuig,Schiphol
10/25/2005,26110610,1,Kogelgeweer,Spanje,Tanzania,N,,Vliegtuig,Schiphol
10/25/2005,26107172,"19,980",kg. Explosieven,Duitsland,VS,N,,Vliegtuig,Schiphol
10/25/2005,26107563,2,"Kogelgeweren, 60 patronen",Zweden,Tanzania,N,,Vliegtuig,Schiphol
10/25/2005,26099048,1,Kogelgeweer,Denemarken,Zuid-Afrika,N,,Vliegtuig,Schiphol
10/25/2005,26099056,1,Kogelgeweer,Denemarken,Zuid-Afrika,N,,Vliegtuig,Schiphol
10/25/2005,26099021,1,Kogelgeweer,Denemarken,Zuid-Afrika,N,,Vliegtuig,Schiphol
10/25/2005,26055105,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
10/26/2005,26073537,1,Kogelgeweer,Noorwegen,Namibië,N,,Vliegtuig,Schiphol
10/26/2005,26003873,1,Kogelgeweer,VS,Spanje,N,,Vliegtuig,Schiphol
10/26/2005,26040744,2,Kogelgeweren,Spanje,Tanzania,N,,Vliegtuig,Schiphol
10/26/2005,26077893,1,"Kogelgeweer, 40 munitie",Oostenrijk,Tanzania,N,,Vliegtuig,Schiphol
10/26/2005,26077885,2,Kogelgeweren,Oostenrijk,Tanzania,N,,Vliegtuig,Schiphol
10/26/2005,26110254,200,Munitie,VS,Israël,N,,Vliegtuig,Schiphol
10/26/2005,26085144,4,"1 Geschutskoepel + delen, 3 munitie",België,VS,N,,Vliegtuig,Schiphol
10/28/2005,26115167,"3,861",Zwartkruitwapens + toebehoren,Spanje,VS,N,,Vliegtuig,Schiphol
10/28/2005,26110572,"2,120",Munitie,Duitsland,VK,N,,Vliegtuig,Schiphol
11/01/2005,melding,6,Trolleys voor geleideraketten met toebehoren,Rusland,Vietnam,N,,Vliegtuig,Schiphol
11/02/2005,26093740,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/02/2005,26116910,2,Kogelgeweren,VS,Zimbabwe,N,,Vliegtuig,Schiphol
11/02/2005,26080649,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/02/2005,26103207,1,Kogelgeweer,VS,Spanje,N,,Vliegtuig,Schiphol
11/02/2005,26089352,1,"Pistool, 30 munitie",Duitsland,Brazilië,N,,Vliegtuig,Schiphol
11/02/2005,26107202,1,Kogelgeweer,VS,Spanje,N,,Vliegtuig,Schiphol
11/02/2005,26107199,1,Kogelgeweer,VS,Spanje,N,,Vliegtuig,Schiphol
11/02/2005,26107180,1,Kogelgeweer,VS,Spanje,N,,Vliegtuig,Schiphol
11/02/2005,26089409,2,Kogelgeweren en loop,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/02/2005,26115078,1,Kogelgeweer,Frankrijk,Tanzania,N,,Vliegtuig,Schiphol
11/02/2005,26115086,1,Kogelgeweer,Frankrijk,Tanzania,N,,Vliegtuig,Schiphol
11/02/2005,26089328,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
11/02/2005,26080703,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/02/2005,26116902,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
11/02/2005,26116929,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/02/2005,26025338,2,Kogelgeweren,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/02/2005,26100917,1,Kogelgeweer en loop,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/02/2005,26121043,1,Kogelgeweer,Italië,VK,N,,Vliegtuig,Schiphol
11/02/2005,26101905,1,Kogelgeweer,Italië,VK,N,,Vliegtuig,Schiphol
11/02/2005,26119928,1,"Kogelgeweer, 100 patronen",VK,Tanzania,N,,Vliegtuig,Schiphol
11/02/2005,26105250,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/02/2005,26060494,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
11/02/2005,26116961,1,Kogelgeweer,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/02/2005,26110602,1,Kogelgeweer,Denemarken,Zuid-Afrika,N,,Vliegtuig,Schiphol
11/04/2005,26124344,3,"2 Pistool kal. 9mm, 1 kogelgeweer",Zuid-Afrika,Duitsland,N,,Schip,Rotterdam
11/04/2005,26100933,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/04/2005,26103193,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/04/2005,26122813,1,Kogelgeweer,VS,VK,N,,Vliegtuig,Schiphol
11/04/2005,26126134,1,Kogelgeweer,Denemarken,VS,N,,Vliegtuig,Schiphol
11/04/2005,26003741,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/04/2005,26110580,1,"Zending delen van machinegeweer, kal. 7.6",België,Maleisië,N,,Vliegtuig,Schiphol
11/04/2005,26121035,2,Kogelgeweren,Tsjechië,Tanzania,N,,Vliegtuig,Schiphol
11/04/2005,26121078,2,Kogelgeweren,Tsjechië,Tanzania,N,,Vliegtuig,Schiphol
11/04/2005,26116996,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
11/04/2005,26116988,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
11/04/2005,26096162,3,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/04/2005,26122910,40,Munitie,Zweden,Duitsland,N,,Vliegtuig,Schiphol
11/07/2005,26122260,210,Kogelgeweren,Portugal,Duitsland,N,,Schip/auto,Rotterdam
11/07/2005,melding,1,Communicatie centrum + toebehoren,Roemenië,Israël,N,,Vliegtuig,Schiphol
11/08/2005,26127491,"7,150,000",Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
11/09/2005,26116864,3,"1 Loop, 195 munitie, 2 kogelgeweren",Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/09/2005,26116872,2,Kogelgeweren,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/09/2005,26107237,1,Kogelgeweer en 1 kist munitie,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/09/2005,26129567,1,Kogelgeweer,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/09/2005,26129494,2,Kogelgeweren,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
11/09/2005,26127629,1,Kogelgeweer,VS,Turkije,N,,Vliegtuig,Schiphol
11/09/2005,26115035,123,"3 Kogelgeweren, 120 patronen",VS,Tanzania,N,,Vliegtuig,Schiphol
11/09/2005,26122198,1,Zending wapens en munitie,Duitsland,VK,N,,Auto/schip,Rotterdam
11/09/2005,26122260,1,Zending kogel-/hagelgeweren,Portugal,Duitsland,N,,Auto/schip,Rotterdam
11/09/2005,26129559,1,Kogelgeweer,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/09/2005,26125340,"484,000",Munitie,Spanje,Australië,N,,Schip,Rotterdam
11/09/2005,26129508,1,Kogelgeweer,Tanzania,VS,N,,Vliegtuig,Schiphol
11/09/2005,26066093,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/09/2005,25935020,1,Kogelgeweer,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/09/2005,25935047,1,Kogelgeweer,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/09/2005,26048605,1,Kogelgeweer,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/09/2005,26110513,2,Kogelgeweren,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/09/2005,26073553,1,Kogelgeweer,VS,Spanje,N,,Vliegtuig,Schiphol
11/10/2005,26129591,2,Kogelgeweren,Tsjechië,Tanzania,N,,Vliegtuig,Schiphol
11/10/2005,26126312,2,Kogelgeweren,VS,Zimbabwe,N,,Vliegtuig,Schiphol
11/10/2005,26129575,1,Kogelgeweer,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/10/2005,26126339,1,Kogelgeweer,Canada,Iran,N,,Vliegtuig,Schiphol
11/10/2005,26127904,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
11/10/2005,26110351,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
11/10/2005,26131162,300,kg. Explosieven (RDX),Noorwegen,Canada,N,,Schip,Rotterdam
11/10/2005,26131170,"7,622",kg. Explosieven (RDX),Zweden,VS,N,,Schip,Rotterdam
11/10/2005,26131189,"2,962",kg. Explosieven (RDX/HMX),Zweden,VS,N,,Schip,Rotterdam
11/10/2005,26131197,2,Boosters,Zwitserland,VK,N,,Schip,Rotterdam
11/10/2005,26131154,960,kg. Explosieven (HDX),Noorwegen,Canada,N,,Schip,Rotterdam
11/11/2005,26131715,"8,750",Munitie,VS,Israël,N,,Vliegtuig,Schiphol
11/11/2005,26060427,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/11/2005,26131774,1,Kogelgeweer,Zweden,VK,N,,Vliegtuig,Schiphol
11/11/2005,26131553,1,Kogelgeweer,Hongarije,Tanzania,N,,Vliegtuig,Schiphol
11/11/2005,26131545,1,Kogelgeweer,Hongarije,Tanzania,N,,Vliegtuig,Schiphol
11/11/2005,26073634,1,Kogelgeweer,Denemarken,Canada,N,,Vliegtuig,Schiphol
11/14/2005,26060435,"13,500,000",Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
11/15/2005,26127890,1,Kogelgeweer,Zweden,VK,N,,Vliegtuig,Schiphol
11/15/2005,26124379,1,Kogelgeweer,Zweden,VK,N,,Vliegtuig,Schiphol
11/15/2005,26127882,1,Kogelgeweer,Zweden,VK,N,,Vliegtuig,Schiphol
11/15/2005,26076188,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
11/15/2005,26062683,1,Kogelgeweer,Frankrijk,Tanzania,N,,Vliegtuig,Schiphol
11/15/2005,26065739,1,Kogelgeweer,Frankrijk,Tanzania,N,,Vliegtuig,Schiphol
11/15/2005,26065747,1,Kogelgeweer,Frankrijk,Tanzania,N,,Vliegtuig,Schiphol
11/15/2005,26062756,1,Kogelgeweer,Frankrijk,Tanzania,N,,Vliegtuig,Schiphol
11/15/2005,26080223,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/15/2005,26133866,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/15/2005,26126320,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/15/2005,26116937,2,Kogelgeweren,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/15/2005,26089336,1,Kogelgeweer,Canada,Iran,N,,Vliegtuig,Schiphol
11/15/2005,26080215,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/15/2005,26115027,40,Munitie,Zweden,Duitsland,N,,Vliegtuig,Schiphol
11/15/2005,26115043,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/15/2005,26115051,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/15/2005,25935055,"770,000",Slaghoedjes ,VS,Israël,N,,Vliegtuig,Schiphol
11/15/2005,25935039,"1,850,000",Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
11/16/2005,melding,84,colli Communicatieapparatuur (militair),VS,Ethiopië,N,,Vliegtuig,Schiphol
11/17/2005,26145341,"150,000",Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
11/17/2005,26145368,"150,000",Slaghoedjes,VS,Israël ,N,,Vliegtuig,Schiphol
11/17/2005,26145376,"2,500,000",Slaghoedjes ,VS,Israël,N,,Vliegtuig,Schiphol
11/17/2005,26139929,"570,000","Patronen kal. 7,5",Spanje,Australië,N,,Schip,Rotterdam
11/18/2005,26003768,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
11/18/2005,26135109,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/18/2005,26135095,81,"1 Kogelgeweer, 80 munitie",VS,Tanzania,N,,Vliegtuig,Schiphol
11/18/2005,26135087,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
11/18/2005,26135079,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
11/18/2005,26135060,1,Kogelgeweer,Noorwegen,VK,N,,Vliegtuig,Schiphol
11/18/2005,26137330,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/18/2005,26131480,1,Kogelgeweer,Zweden,VK,N,,Vliegtuig,Schiphol
11/18/2005,26100976,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
11/18/2005,26127874,2,"Kogelgeweren, munitie",Zweden,Tanzania,N,,Vliegtuig,Schiphol
11/18/2005,26142431,2,"Kogelgeweren, munitie",VS,Zimbabwe,N,,Vliegtuig,Schiphol
11/18/2005,26144388,3,Kogelgeweren,VS,VS,N,,Vliegtuig,Schiphol
11/18/2005,26146224,1,Kogelgeweer,Duitsland,Roemenië,N,,Vliegtuig,Schiphol
11/18/2005,26146232,1,Kogelgeweer en 1 zending munitie,Oostenrijk,Tanzania,N,,Vliegtuig,Schiphol
11/18/2005,26144272,"10,000",Patronen,Spanje,Venezuela,N ,,Schip,Rotterdam
11/21/2005,26115175,1,Kogelgeweer en 40 munitie,Denemarken,Tanzania,N,,Vliegtuig,Schiphol
11/21/2005,26145384,1,Kogelgeweer,Duitsland,Roemenië,N,,Vliegtuig,Schiphol
11/21/2005,26093090,1,Kogelgeweer en 80 munitie,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/21/2005,26068290,1,Kogelgeweer,VS,Spanje,N,,Vliegtuig,Schiphol
11/21/2005,26129613,1,Kogelgeweer en 100 patronen,Zweden,Tanzania,N,,Vliegtuig,Schiphol
11/21/2005,26080207,1,Kogelgeweer,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/21/2005,26121051,1,Kogelgeweer,Spanje,Tanzania,N,,Vliegtuig,Schiphol
11/21/2005,26146631,"3,004","200 Kogelgeweren, 204 munitie, 2600 magazijnen",VS,Irak,N,,Vliegtuig,Schiphol
11/22/2005,26145449,"500,000","Patronen kal. 7,62mm",België,Australië,N ,,Schip,Rotterdam
11/22/2005,26131677,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
11/22/2005,26131642,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
11/22/2005,26131669,2,Kogelgeweren,VS,Uganda,N,,Vliegtuig,Schiphol
11/22/2005,26122783,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/22/2005,26127858,2,Kogelgeweren,VS,Zuid-Afrika,N,,Vliegtuig,Schiphol
11/22/2005,26129516,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/22/2005,26066115,2,"Kogelgeweren, patronen",Duitsland,Tanzania,N,,Vliegtuig,Schiphol
11/22/2005,26068363,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/22/2005,26011043,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/22/2005,25976819,1,"Kogelgeweer, munitie",VS,Tanzania,N,,Vliegtuig,Schiphol
11/22/2005,26112842,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
11/22/2005,26129524,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/22/2005,26146356,"500,000","Patronen kal. 7,62mm",België,Australië,N,,Schip,Rotterdam
11/22/2005,26145449,"500,000","Patronen kal. 7,62mm",België,Australië,N,,Schip,Rotterdam
11/22/2005,26146321,"500,000","Patronen kal. 7,62mm",België,Australië,N,,Schip,Rotterdam
11/22/2005,26146348,"500,000","Patronen kal. 7,62mm",België,Australië,N,,Schip,Rotterdam
11/23/2005,26149932,"2,380",Patronen & toebehoren,Duitsland,VK,N,,Schip,Rotterdam
11/25/2005,26164516,"4,899",kg. Explosieven,Zweden,VS,N,,Schip,Rotterdam
11/25/2005,26164508,"2,723",kg. Explosieven,Noorwegen,VS,N,,Schip,Rotterdam
11/25/2005,26164494,545,kg. Explosieven,Zweden,VS,N,,Schip,Rotterdam
11/28/2005,26152429,"6,565",Pistoolmitrailleurs,Hongarije,VS,N,,Schip,Rotterdam
11/28/2005,26159660,6,kisten Patronen & delen van pyrotechnische keten,Frankrijk,Peru,N,,Vliegtuig,Schiphol
11/28/2005,26150280,2,Pistolen,Italië,Ecuador,N,,Vliegtuig,Schiphol
11/28/2005,25799720,1,Pistool,Italië,Ecuador,N,,Vliegtuig,Schiphol
11/28/2005,26147549,"9,990",kg. Explosieven,Duitsland,VS,N,,Schip,Rotterdam
11/28/2005,26147565,2,1 Pistool en 1 revolver,VS,België,N,,Vliegtuig,Schiphol
11/28/2005,26150264,50,Munitie,Zweden,Tanzania,N,,Vliegtuig,Schiphol
11/28/2005,26150272,100,Munitie,Zweden,Tanzania,N,,Vliegtuig,Schiphol
11/28/2005,26154774,41,"1 Kogelgeweer, 40 munitie",Duitsland,VK,N,,Vliegtuig,Schiphol
11/28/2005,26154766,39,"1 Kogelgeweer, 38 munitie",Duitsland,VK,N,,Vliegtuig,Schiphol
11/28/2005,26154782,1,Kogelgeweer,Duitsland,VK,N,,Vliegtuig,Schiphol
11/28/2005,26152194,"787,300",Munitie,Zuid-Afrika,Duitsland,N,,Vliegtuig,Schiphol
11/28/2005,26147557,1,Kogelgeweer,VS,Tanzania,N,,Vliegtuig,Schiphol
11/28/2005,26144302,2,Kogelgeweren,Tanzania,Spanje,N,,Vliegtuig,Schiphol
11/28/2005,26161371,1,Houwitser kal. 155mm,Zweden,India v.v.,N,,Schip,Rotterdam
11/29/2005,26161509,15,Zwartkruitgeweren,VS,Tsjechië,N,,Vliegtuig,Schiphol
11/29/2005,26164281,4,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
11/29/2005,26161495,2,Kogelgeweren,Tanzania,VS,N,,Vliegtuig,Schiphol
11/30/2005,26161363,1,Kogelgeweer,Tanzania,VS,N,,Vliegtuig,Schiphol
11/30/2005,26152364,1,Kogelgeweer,VK,Polen,N,,Vliegtuig,Schiphol
11/30/2005,26152372,2,Kogelgeweren,VK,Polen,N,,Vliegtuig,Schiphol
12/01/2005,26160669,442,Patronen kal. 155mm,VK,Italië,N,,Auto,Rotterdam
12/01/2005,26164524,"28,860",Ontstekers,Zuid-Afrika,Zwitserland,N,,Schip,Rotterdam
12/01/2005,26169631,"295,000",Munitie,Tsjechië,Jordanië,N,,Auto/vliegtuig,Maastricht
12/02/2005,26170028,"3,715,000",Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
12/02/2005,26164486,"5,760",kg. Explosieven,Zweden,VS,N,,Schip,Rotterdam
12/02/2005,26164621,243,Ontstekers M935,VS,België,N,,Vliegtuig,Maastricht
12/05/2005,26170052,1,Kogelgeweer,Duitsland,Tanzania,N,,Vliegtuig,Schiphol
12/05/2005,26152380,1,Kogelgeweer en 40 munitie,Canada,Zweden,N,,Vliegtuig,Schiphol
12/06/2005,26124360,"5,528",Traangasgranaten,Tsjechië,Kazachstan,N,,Vrachtauto/vliegtuig,Schiphol
12/06/2005,26175569,2,Kogelgeweren,VS,Tanzania,N,,Vliegtuig,Schiphol
12/06/2005,26124360,"5,528",Traangasgranaten,Tsjechië,Kazachstan,N,,Vrachtauto/vliegtuig,Schiphol
12/06/2005,26173396,"69,400",Munitie,Tsjechië,Kenia,N,,Auto/Vliegtuig,Schiphol
12/06/2005,26162939,2,Kogelgeweer en pistool,Canada,Tsjechië,N,,Vliegtuig,Schiphol
12/07/2005,26173310,"1,284",Patroonhulzen + toebehoren,Duitsland,VK,N,,Vrachtauto/schip,Rotterdam
12/07/2005,26173329,"3,080","1060 Hulzen, 2020 sleeves",Duitsland,VK,N,,Vrachtauto/schip,Rotterdam
12/07/2005,26173337,"3,080","1060 Hulzen, 2020 sleeves",Duitsland,VK,N,,Vrachtauto/schip,Rotterdam
12/07/2005,26171687,1,Kogelgeweer,Duitsland,Tanzania,N,,Vliegtuig,Schiphol
12/08/2005,26171571,"32,825",Magazijnen,Hongarije,VS,N,,Auto/Schip,Rotterdam
12/09/2005,26181356,"50,000",Kogelpatronen,Zwitserland,VK,N,,Vrachtauto/schip,Rotterdam
12/12/2005,26181887,1,Munitie,Duitsland,Australië,N,,Auto/Vliegtuig,Schiphol
12/13/2005,26180333,1,Kogelgeweer en 24 munitie,Frankrijk,Tanzania,N,,Vliegtuig,Schiphol
12/13/2005,26184479,1,Kogelgeweer,Zwitserland,VS,N,,Vliegtuig,Schiphol
12/13/2005,26184428,1,Hagelgeweer,Italië,VK,N,,Vliegtuig,Schiphol
12/13/2005,26184460,1,Kogelgeweer,VS,Kroatië,N,,Vliegtuig,Schiphol
12/14/2005,26186072,"320,000",Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
12/14/2005,26186188,1,Kogelgeweer,VS,Turkije,N,,Vliegtuig,Schiphol
12/14/2005,26155010,1,Kogelgeweer,Frankrijk,Ierland,N,,Vliegtuig,Schiphol
12/14/2005,26184304,8,"4 Kogelgew., 1 granaatwerper, 1 pistool, 1 slede, 1 geluidsdemper",VK,Duitsland,N,,Auto/schip,Rotterdam
12/14/2005,26184290,"1,140,000",Patronen kal. 9mm,Brazilië,Spanje,N,,Schip,Rotterdam
12/14/2005,26184320,"483,480",Jachtpatronen,Spanje,VS,N,,Schip,Rotterdam
12/15/2005,26186056,"1,935,000",Slaghoedjes,VS,Israël,N,,Vliegtuig,Schiphol
12/16/2005,26191580,"1,500",Patronen kal.76mm,België,Brunei ,N,,Schip,Eemshaven
12/16/2005,26191696,84,Patronen kal. 81 + kal. 105 mm,België,Oman,N,,Auto/schip,Eemshaven
