Datum afgifte,nummer,SG-Post,Omschrijving goederen,Opgegeven eindgebruik,D/T,Land van eindbestemming,Land van herkomst,Waarde(€),Datum verval
09/13/2013,29315752,2B001a,Draaibanken en freesmachines,Metaalbewerking,D,China                                   ,Nederland                               ,"582,500",09/30/2014
09/20/2013,29298548,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Pakistan via VAE,Onbekend                                ,"38,838",09/30/2014
09/20/2013,29298645,5A002a1,Apparatuur voor informatiebeveiliging,Informatiebeveiliging,D,Pakistan via VAE,Onbekend                                ,"78,919",09/30/2014
09/20/2013,29318441,1B201     ,Draadwindmachines,Vervaardiging van buizen versterkt met glasvezel,D,Oman                                    ,Verenigde Staten van Amerika            ,"172,852",09/30/2014
09/20/2013,29318468,1B201     ,Draadwindmachines,Vervaardiging van buizen versterkt met glasvezel,D,Oman                                    ,Verenigde Staten van Amerika            ,"632,845",09/30/2014
09/23/2013,29280711,1C350-46,Triethanolamine,Vervaardiging van verf,D,Thailand                                ,Nederland                               ,"13,300",09/30/2014
09/23/2013,29296820,3C003a    ,Trimethylgallium,Onderzoek                                                                     ,D,Tunesië                                 ,Verenigde Staten van Amerika            ,"2,600",09/30/2014
09/23/2013,29296839,3C003a    ,Trimethylindium,Onderzoek                                                                     ,D,Tunesië                                 ,Verenigde Staten van Amerika            ,"4,000",09/30/2014
09/23/2013,29296847,3C003a    ,Trimethylgallium,Onderzoek                                                                     ,D,Tunesië                                 ,Nederland                               ,"2,800",09/30/2014
09/23/2013,29297495,1C350-46,Triethanolamine,Vervaardiging van verf,D,Mauritius                               ,Nederland                               ,"2,742",09/30/2014
09/23/2013,29298521,5A002a1,Apparatuur voor informatiebeveiliging,Informatiebeveiliging,D,Libië via VAE,Onbekend                                ,"160,984",09/30/2014
09/24/2013,29293805,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik (landmacht),D,Singapore                               ,Nederland                               ,"57,125",09/30/2014
09/26/2013,29278822,0E001,Technologie,Vervaardiging van een verrijkingsinstallatie,D,Diverse landen,Nederland                               ,"2,400,000",09/30/2014
09/26/2013,29280835,0B002a    ,Kleppen,Uraniumverrijking                                                               ,D,Verenigde Staten van Amerika,Nederland                               ,"11,850,000",09/30/2014
09/26/2013,29292280,2B350g,Kleppen,Tbv de petrochemische industrie,D,China                                   ,Nederland                               ,"1,278,583",09/30/2014
09/26/2013,29304025,5A002a1,Apparatuur voor informatiebeveiliging,Informatiebeveiliging,D,Pakistan via VAE,Verenigde Staten van Amerika            ,"38,763",09/30/2014
09/26/2013,29304106,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Libië via VAE,Verenigde Staten van Amerika            ,"6,030",09/30/2014
09/26/2013,29304114,5A002a1,Apparatuur voor informatiebeveiliging,Informatiebeveiliging,D,Pakistan via VAE,Verenigde Staten van Amerika            ,"30,838",09/30/2014
09/26/2013,29305870,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Pakistan via VAE,Verenigde Staten van Amerika            ,"62,882",09/30/2014
09/26/2013,29306346,2B001a,Draaibanken en freesmachines,Vervaardiging van gereedschappen                                              ,D,Thailand                                ,Nederland                               ,"341,000",09/30/2014
09/26/2013,29306362,1C350-46,Triethanolamine,Vervaardiging van verf,D,Vietnam                                 ,Nederland                               ,"18,688",09/30/2014
09/26/2013,29307865,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Diverse landen                          ,Onbekend                                ,"9,000,000",09/30/2016
09/26/2013,29313555,2B350g,Kleppen,Tbv de olie- en gasindustrie,D,Qatar                                   ,Onbekend                                ,"36,030",09/30/2014
09/26/2013,29316929,2B350g,Kleppen,Tbv de olie- en gasindustrie,D,Qatar                                   ,Onbekend                                ,"36,030",09/30/2014
10/01/2013,29299986,3A001,Analoog/digitaalomzetters,Communicatie- en netwerktoepassingen ,D,Diverse landen,Frankrijk                               ,"74,919,372",09/30/2016
10/02/2013,29313466,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Verenigde Staten van Amerika,Nederland                               ,"73,153,193",10/31/2014
10/02/2013,29313822,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Libië,Onbekend                                ,"7,489,500",08/31/2016
10/02/2013,29314403,2B350g,Kleppen,Tbv de petrochemische industrie,D,Venezuela                               ,Onbekend                                ,"16,800",10/31/2014
10/02/2013,29314608,2B350g,Kleppen,Bierbrouwen                                                          ,D,Zuid-Afrika                             ,Onbekend                                ,"4,710",10/31/2014
10/02/2013,29314616,2B350g,Kleppen,Tbv de petrochemische industrie,D,Zuid-Afrika                             ,Onbekend                                ,864,10/31/2014
10/02/2013,29314632,2B350g,Kleppen,Bierbrouwen                                                          ,D,Zuid-Afrika                             ,Onbekend                                ,261,10/31/2014
10/03/2013,29300739,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Libanon                                 ,Onbekend                                ,"6,291",10/31/2014
10/03/2013,29300747,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Libanon                                 ,Onbekend                                ,"74,895",10/31/2014
10/03/2013,29300755,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Pakistan via VAE,Onbekend                                ,"15,054",10/31/2014
10/03/2013,29301026,2B350g,Kleppen,Tbv de olie- en gasindustrie,D,Azerbeidzjan                            ,Onbekend                                ,670,10/31/2014
10/03/2013,29305420,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Verenigde Arabische Emiraten,Onbekend                                ,"13,707",10/31/2014
10/03/2013,29306303,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv de boswachterij,D,China                                   ,Nederland                               ,"30,000",10/31/2014
10/03/2013,29306311,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv de boswachterij,D,China                                   ,Nederland                               ,"30,000",10/31/2014
10/03/2013,29318565,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Verenigde Arabische Emiraten,Onbekend                                ,"9,736",10/31/2014
10/07/2013,29295042,2E002,Technologie,Vervaardiging van afsluiters,D,China via Australië                               ,Nederland                               ,"6,000",10/31/2014
10/07/2013,29300828,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Frankrijk                               ,Nederland                               ,"29,015",10/31/2014
10/07/2013,29301557,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Verenigde Staten van Amerika,Nederland                               ,750,10/31/2014
10/08/2013,29273588,2B201a,Draaibanken en freesmachines,Metaalbewerking,D,India                                   ,Nederland                               ,"633,350",10/31/2014
10/08/2013,29300801,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Frankrijk                               ,Nederland                               ,"48,578",10/31/2014
10/08/2013,29301565,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Verenigde Staten van Amerika,Nederland                               ,"16,300",10/31/2014
10/08/2013,29301573,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Verenigde Staten van Amerika,Nederland                               ,"454,333",10/31/2014
10/08/2013,29302111,0E001,Technologie,Vervaardiging van een verrijkingsinstallatie,D,Verenigd Koninkrijk                     ,Nederland                               ,1,10/31/2014
10/08/2013,29302146,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Frankrijk                               ,Nederland                               ,"11,450",10/31/2014
10/08/2013,29303894,0B001b13  ,Frequentie-omzetters                                                          ,Uraniumverrijking                                                             ,D,Verenigde Staten van Amerika,Nederland                               ,"23,177",10/31/2014
10/08/2013,29304122,0B001b13  ,Frequentie-omzetters                                                          ,Uraniumverrijking                                                             ,D,Verenigd Koninkrijk                     ,Nederland                               ,"19,361",10/31/2014
10/08/2013,29306893,7A003,Traagheidsnavigatiesystemen                                                   ,Plaatsbepalingsdiensten,T,Diverse landen,Onbekend                                ,"2,400,000",10/31/2016
10/08/2013,29309647,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik (landmacht)                                              ,D,Zuid-Korea                              ,Nederland                               ,"145,960",10/31/2014
10/08/2013,29311161,2B350g,Kleppen,Tbv de voedingsmiddelenindustrie,D,Rusland                                 ,Onbekend                                ,"1,199",10/31/2014
10/08/2013,29313709,2B350g,Kleppen,Tbv de olie- en gasindustrie,D,Maleisië                                ,Onbekend                                ,"13,425",10/31/2014
10/09/2013,29297576,2B350d,Warmtewisselaars,Tbv de chemische industrie,D,Thailand via Japan                                   ,Nederland                               ,"2,073",10/31/2014
10/09/2013,29299390,5A002a1,Apparatuur voor informatiebeveiliging,Informatiebeveiliging,D,Nieuw-Caledonië,Verenigde Staten van Amerika            ,"15,000",10/31/2014
10/09/2013,29305978,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik (marine),D,Zuid-Korea via Israël                                  ,Onbekend                                ,"150,144",10/31/2014
10/09/2013,29314373,9A101     ,Turbinestraal- en turbofanmotoren,Tbv onbemande luchtvaartuigen                                                                  ,D,Turkije                                 ,Onbekend                                ,"19,500",10/31/2014
10/10/2013,29284849,,Diverse goederen                                                           ,Diversen (zie toelichting),T,Diverse landen,Diverse landen                          ,"6,800,000",01/31/2016
10/10/2013,29300011,1C101     ,Anti-reflectieverf,Beperken van de zichtbaarheid                                                   ,D,Servië                                  ,Nederland                               ,"5,005",10/31/2014
10/10/2013,29313571,2B006b1,Meetapparatuur,Onderzoek en ontwikkeling,D,Turkije                                 ,Verenigde Staten van Amerika            ,"42,000",10/31/2014
10/15/2013,29307822,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Pakistan via VAE,Onbekend                                ,"35,048",10/31/2014
10/15/2013,29317488,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Irak via VAE,Onbekend                                ,"295,835",10/31/2014
10/15/2013,29330239,2B350g,Kleppen,Bierbrouwen                                                          ,D,Zuid-Afrika                             ,India                                   ,260,10/31/2014
10/16/2013,29307997,2B350g,Kleppen,Tbv de olie- en gasindustrie,D,Diverse landen                          ,Onbekend                                ,"3,950,000",10/31/2014
10/16/2013,29314454,2B350g,Kleppen,Tbv de petrochemische industrie,D,India                                   ,Nederland                               ,"120,400",10/31/2014
10/16/2013,29314489,2A226     ,Balgafsluiters,Tbv olie- en gasindustrie                                                     ,D,Diverse landen                          ,Onbekend                                ,"4,150,000",10/31/2014
10/16/2013,29318379,2B350g,Kleppen,Tbv de petrochemische industrie,D,India                                   ,Onbekend                                ,"20,500",10/31/2014
10/16/2013,29324387,2B350g,Kleppen,Tbv de petrochemische industrie,D,India                                   ,Nederland                               ,"33,400",10/31/2014
10/17/2013,29296545,6A003b4,Camera's,Reparatie en onderhoud,D,Turkije                                 ,Verenigde Staten van Amerika            ,"6,927",10/31/2014
10/18/2013,29313504,6A001a    ,Akoestische apparatuur                                                        ,Seismologisch onderzoek                                                       ,T,Aruba                                   ,Verenigde Staten van Amerika            ,"38,000",10/31/2014
10/18/2013,29313512,7A003c    ,Traagheidsnavigatiesystemen,Opmeten van objecten op en langs langgerekte tracé's,T,Aruba                                   ,Frankrijk                               ,"17,664",10/31/2014
10/18/2013,29330794,7A003c    ,Traagheidsnavigatiesystemen,Opmeten van objecten op en langs langgerekte tracé's,T,Angola                                  ,Frankrijk                               ,"17,664",10/31/2014
10/21/2013,29313687,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Afghanistan                             ,Verenigde Staten van Amerika            ,"8,987,400",10/31/2014
10/22/2013,29314500,6A003b3   ,Camera's,Onderzoek (maritiem - wetenschappelijk),D,China                                   ,Nederland                               ,"36,250",10/31/2014
10/22/2013,29316775,2B230     ,(Onderdelen voor) drukomzetters,Vervaardiging van halfgeleiderelementen of -materialen,D,Diverse landen                          ,Onbekend                                ,"60,000",10/31/2014
10/23/2013,29299870,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Pakistan                                ,Onbekend                                ,"14,979",10/31/2014
10/23/2013,29303983,2B350i    ,Pompen (onderdelen voor),Verpompen van chloor,D,Saoedi-Arabië                           ,Duitsland                               ,"1,555,458",10/31/2014
10/23/2013,29328544,0B001b13  ,Frequentie-omzetters                                                          ,Uraniumverrijking                                                             ,D,Frankrijk                               ,Nederland                               ,"35,796",10/31/2014
10/23/2013,29329443,2B350g,Kleppen,Tbv de olie- en gasindustrie,D,Kazachstan                              ,Italië                                  ,"12,386",10/31/2014
10/24/2013,29296618,6A003b4,Camera's,Onderzoek en ontwikkeling,D,India                                   ,België                                  ,"15,900",10/31/2014
10/24/2013,29313741,1C350-03    ,Dimethylmethylfosfonaat,Vervaardiging van polymeren,D,Brazilië                                ,Zwitserland                             ,"1,228",10/31/2014
10/25/2013,29306338,2B001b    ,Verticaal bewerkingscentrum,Tbv de auto-industrie,D,Turkije                                 ,Japan                                   ,"10,000",10/31/2014
10/25/2013,29327459,3B001,Productie-apparatuur voor halfgeleiderelementen of -materialen,Vervaardiging van halfgeleiderelementen of -materialen,D,China                                   ,Nederland                               ,"5,000",10/31/2014
10/28/2013,29313784,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Pakistan via VAE,Onbekend                                ,"22,319",10/31/2014
10/30/2013,29295832,3C003a    ,Trimethylaluminium,Onderzoek                                                                     ,D,Tunesië                                 ,Nederland                               ,"2,300",10/31/2014
10/30/2013,29320519,1B118a    ,Continumengers,Tbv productie van polyethyleen                                                ,D,Mexico                                  ,Duitsland                               ,"9,979,860",10/31/2014
10/30/2013,29322198,5A002a1,Apparatuur voor informatiebeveiliging,Informatiebeveiliging,D,Jemen via VAE,Onbekend                                ,"1,888",10/31/2014
10/30/2013,29324409,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Pakistan via VAE,Onbekend                                ,"22,469",10/31/2014
10/31/2013,29298718,5A002,Apparatuur voor informatiebeveiliging,Informatiebeveiliging,D,Libanon                                 ,Frankrijk                               ,"75,000,000",10/31/2016
10/31/2013,29304092,2B350g,Kleppen,Tbv de olie- en gasindustrie,D,Kazachstan                              ,Italië                                  ,"23,793",10/31/2014
10/31/2013,29326150,1C010b    ,Koolstofvezel,Tbv de kunststofindustrie,D,Zuid-Korea                              ,Onbekend                                ,"149,790",11/30/2014
11/01/2013,29314357,2B352b    ,Fermentoren,Vervaardiging van farmaceutische producten,D,China via Hongkong                                ,Onbekend                                ,"18,344",11/30/2014
11/01/2013,29322228,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Demonstratie,D,Turkije                                 ,Nederland                               ,"26,905",11/30/2014
11/01/2013,29328439,2B350g,Kleppen,Bierbrouwen                                                          ,D,Zuid-Afrika                             ,India                                   ,230,11/30/2014
11/01/2013,29330743,1C002b4b  ,Aluminium,Tbv matrijzen,D,Taiwan                                  ,Nederland                               ,"150,000",10/31/2014
11/04/2013,29311226,2B350g,Kleppen,Vervaardiging van harsen,D,Thailand                                ,Onbekend                                ,"31,985",11/30/2014
11/04/2013,29330603,0C004     ,Grafiet,Hoogoven,D,India                                   ,Onbekend                                ,"1,300,000",11/30/2014
11/04/2013,29330875,1C230     ,Beryllium                                                                     ,Tbv electronenmicroscoop,D,Diverse landen,EU,"10,000,000",11/30/2014
11/06/2013,29301891,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Onderzoek en ontwikkeling,T,Zuid-Korea,EU,"4,982",12/31/2013
11/07/2013,29280681,3A231     ,Neutronengeneratorsystemen,Onderzoek (materialen),D,Egypte                                  ,Frankrijk                               ,"35,000",11/30/2014
11/07/2013,29308829,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Onderzoek en ontwikkeling                                                     ,D,Oekraïne                                ,Nederland                               ,"7,000",11/30/2014
11/07/2013,29313695,2B350g,Kleppen,Tbv de olie- en gasindustrie,D,Turkije                                 ,Onbekend                                ,"1,407",11/30/2014
11/07/2013,29321612,1E001,Technologie mbt vogelgriepvirus,Tbv internationaal overleg,D,Verenigde Staten van Amerika,Nederland                               ,1,11/30/2014
11/07/2013,29330891,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv civielgebruik                                          ,D,Rusland                                 ,Nederland                               ,"3,942,400",09/16/2014
11/07/2013,29331634,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen (civiel),D,Zuid-Korea                              ,Nederland                               ,"33,900",11/30/2014
11/08/2013,29297568,1C350-46,Triethanolamine,Vervaardiging van verf,D,Soedan                                  ,Nederland                               ,"1,600",11/30/2014
11/08/2013,29308063,5A002a1,Apparatuur voor informatiebeveiliging,Informatiebeveiliging,D,Libanon                                 ,Onbekend                                ,"55,000",11/30/2014
11/08/2013,29322066,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik,D,Maleisië                                ,Nederland                               ,"37,340",11/30/2014
11/08/2013,29324239,1C351a18,Hendravirus (Equine-morbillivirus),Tbv onderzoeksdoeleinden,D,Verenigde Staten van Amerika,Nederland                               ,1,11/30/2014
11/08/2013,29328978,3A231     ,Neutronengeneratorsystemen,Tbv de olie- en gasindustrie,T,Noorwegen                               ,Verenigde Staten van Amerika            ,"403,848",11/30/2014
11/08/2013,29330018,3A001,Analoog/digitaalomzetters,Communicatie- en netwerktoepassingen ,D,Noorwegen via Maleisië                                ,Onbekend                                ,"57,992",11/30/2014
11/08/2013,29331766,1C351a14,Mond-en-klauwzeervirus,Tbv onderzoeksdoeleinden,D,Argentinië                              ,Nederland                               ,200,11/30/2014
11/08/2013,29334730,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik,D,Nederland via Israël                                  ,Nederland                               ,"247,860",11/30/2014
11/08/2013,29335184,3A001,Analoog/digitaalomzetters,Dataverwerking                                                                ,D,Noorwegen via Maleisië                                ,Noorwegen                               ,"521,242",11/30/2014
11/12/2013,29320101,1C351a34,Virus van de ziekte van Newcastle,Tbv onderzoeksdoeleinden,D,Verenigde Staten van Amerika,Nederland                               ,10,11/30/2014
11/12/2013,29321639,9A101     ,Turbinestraal- en turbofanmotoren,Raketrugzak                                               ,D,Dominicaanse republiek                  ,Onbekend                                ,"40,500",11/30/2014
11/12/2013,29324182,,Diverse goederen,Uraniumverrijking,D,Verenigd Koninkrijk                     ,Duitsland                               ,"36,115",11/30/2014
11/13/2013,29325898,1C350-42,Ammoniumbifluoride,Tbv de olie-industrie,D,Algerije                                ,Onbekend                                ,"139,954",11/30/2014
11/14/2013,29327882,6A004  ,Optische apparatuur,Montage in astronomische telescoop,D,China                                   ,Onbekend                                ,"16,445",11/30/2014
11/15/2013,29326835,2B350g,Kleppen,Tbv de olie- en gasindustrie,D,Oman                                    ,Nederland                               ,"4,300,000",11/30/2014
11/15/2013,29329761,2B350g,Kleppen,Tbv de petrochemische industrie                                                ,D,Rusland                                 ,Onbekend                                ,"4,352",11/30/2014
11/18/2013,29314527,,Diverse goederen,Diversen (zie toelichting),D,Qatar                                   ,Onbekend                                ,"1,500,000",11/30/2014
11/18/2013,29318662,1C202a    ,Aluminium,Tbv matrijzen,D,Colombia                                ,EU,"51,000",11/30/2014
11/18/2013,29318670,1C002b4b  ,Aluminium,Tbv matrijzen,D,Colombia                                ,EU,"39,000",11/30/2014
11/18/2013,29318689,1C002b4b  ,Aluminium,Tbv matrijzen,D,Colombia                                ,EU,"260,000",11/30/2014
11/18/2013,29322430,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Verenigd Koninkrijk                     ,Nederland                               ,"742,140",11/30/2014
11/18/2013,29325855,0C002,Splijtstofelementen,Wetenschappelijk onderzoek,D,Duitsland                               ,Nederland                               ,100,11/30/2014
11/18/2013,29328447,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Libanon via VAE,Verenigde Staten van Amerika            ,"8,799",11/30/2014
11/18/2013,29328552,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Frankrijk                               ,Nederland                               ,"35,796",11/30/2014
11/18/2013,29328846,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Demonstratie                                                                  ,T,Qatar                                   ,Nederland                               ,"6,000",11/18/2013
11/18/2013,29329990,0B002a    ,Kleppen,Uraniumverrijking                                                               ,T,Diverse landen,Frankrijk                               ,"8,800,000",11/30/2016
11/18/2013,29330107,5A002a1,Apparatuur voor informatiebeveiliging,Informatiebeveiliging,D,Diverse landen,Onbekend                                ,"35,000,000",11/30/2016
11/18/2013,29331103,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Pakistan via VAE,Verenigde Staten van Amerika            ,"38,216",11/30/2014
11/18/2013,29334374,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Demonstratie tbv militair gebruik,T,Zuid-Korea,Nederland,"3,000",11/18/2013
11/18/2013,29337268,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Demonstratie,T,Zuid-Korea,EU,"4,313",11/18/2013
11/19/2013,29325901,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik,D,Qatar                                   ,Onbekend                                ,"42,400",11/30/2014
11/20/2013,29345015,7A,Diverse navigatieapparatuur,Diversen (zie toelichting),T,Diverse landen,Verenigde Staten van Amerika            ,"82,828",11/30/2014
11/26/2013,29322058,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik,D,Taiwan                                  ,Onbekend                                ,"2,392",11/30/2014
11/26/2013,29331758,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Pakistan via VAE,Onbekend                                ,"28,472",11/30/2014
11/26/2013,29333890,5A002a1,Apparatuur voor informatiebeveiliging,Informatiebeveiliging,D,Singapore                               ,Duitsland                               ,"3,430",11/30/2014
11/26/2013,29334129,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Afghanistan via VAE,Onbekend                                ,"256,535",11/30/2014
11/26/2013,29340455,6A008d    ,Radarsystemen,Surveillance en beveiligingsdoeleinden,D,Diverse landen                          ,Onbekend                                ,"2,000,000",11/30/2014
11/26/2013,29347131,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Frankrijk                               ,Nederland                               ,"53,877",11/30/2014
11/28/2013,29325871,1C350-42,Ammoniumbifluoride,Tbv de olie-industrie,D,Equatoriaal-Guinea                      ,Onbekend                                ,"25,873",11/30/2014
11/28/2013,29335354,6A003b4,Camera's,Onderzoek,D,Turkije                                 ,Onbekend                                ,"13,338",11/30/2014
11/29/2013,29328870,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv de boswachterij,D,China                                   ,Nederland                               ,"88,350",12/01/2014
11/29/2013,29331219,5D002,Software voor informatiebeveiliging,Informatiebeveiliging                                                           ,D,Pakistan                                ,Verenigde Staten van Amerika            ,"94,973",11/30/2014
11/29/2013,29331863,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Libanon                                 ,Verenigde Staten van Amerika            ,"14,180",11/30/2014
11/29/2013,29334854,2B350g,Kleppen,Tbv de olie- en gasindustrie,D,Rusland                                 ,Nederland                               ,"4,352",12/31/2014
11/29/2013,29337810,5D002,Software voor informatiebeveiliging,Informatiebeveiliging                                                           ,D,Congo via Libanon                                 ,Verenigde Staten van Amerika            ,"3,078",11/30/2014
11/29/2013,29340706,2B350g,Kleppen,Vervaardiging van kunstmest,D,Vietnam                                 ,Nederland                               ,"64,500",11/30/2014
11/29/2013,29341478,5D002,Software voor informatiebeveiliging,Informatiebeveiliging                                                           ,D,Pakistan                                ,Onbekend                                ,"115,779",11/30/2014
11/29/2013,29343969,2B350a,Reactor,Tbv de chemische industrie,D,Egypte                                  ,Onbekend                                ,"7,833",11/30/2014
11/29/2013,29347808,2B001a,Draaibanken en freesmachines,Metaalbewerking,D,India                                   ,Nederland                               ,"633,350",11/30/2016
12/02/2013,29309620,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv de kustwacht,D,Vietnam                                 ,Nederland                               ,"19,970",12/31/2014
12/02/2013,29322104,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik (landmacht),D,Indonesië via Zuid-Korea                              ,Nederland                               ,"337,500",12/31/2014
12/02/2013,29327874,5A002a1,Apparatuur voor informatiebeveiliging,Informatiebeveiliging,D,Zuid-Soedan,Onbekend                                ,"250,000",12/31/2014
12/02/2013,29334595,5D002,Software voor informatiebeveiliging,Informatiebeveiliging                                                           ,D,Pakistan                                ,Verenigde Staten van Amerika            ,"24,660",12/31/2014
12/03/2013,29320853,2B350g,Kleppen,Tbv de voedingsmiddelenindustrie,D,Rusland                                 ,Oostenrijk                              ,"13,413",12/31/2014
12/03/2013,29338264,2B350g,Kleppen,Tbv de petrochemische industrie,D,India                                   ,Nederland                               ,"55,914",12/31/2014
12/04/2013,29313636,2B204     ,Isostatische pers,Tbv de kunststofindustrie,D,Rusland                                 ,België                                  ,"45,874",12/31/2014
12/05/2013,29347034,1C351a42,Rift Valleyvirus,Tbv onderzoeksdoeleinden,D,Verenigde Staten van Amerika,Nederland                               ,1,12/31/2014
12/06/2013,29335141,2B352b    ,Fermentoren,Onderzoek,D,Mexico                                  ,Onbekend                                ,"177,510",12/31/2014
12/06/2013,29342644,2B350g,Kleppen,Bierbrouwen                                                          ,D,Zuid-Afrika                             ,India                                   ,55,12/31/2014
12/06/2013,29342741,2B350g,Kleppen,Bierbrouwen                                                          ,D,Zuid-Afrika                             ,India                                   ,409,12/31/2014
12/09/2013,29318506,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Nachtzichtsystemen tbv militair gebruik (landmacht),D,Turkije                                 ,Nederland                               ,"683,816",12/31/2014
12/09/2013,29322635,2B352b    ,Fermentoren,Vervaardiging van farmaceutische producten,D,China via Hongkong                                ,Onbekend                                ,"618,659",12/31/2014
12/09/2013,29337217,1C350-46,Triethanolamine,Vervaardiging van verf,D,India                                   ,Nederland                               ,"15,360",12/31/2014
12/09/2013,29337705,0B001b,(delen van) Ultra gascentrifuges,Uraniumverrijking,D,Frankrijk                               ,Onbekend                                ,"154,399,441",12/31/2014
12/10/2013,29327513,2B350g,Kleppen,Bierbrouwen                                                          ,D,Zuid-Afrika                             ,India                                   ,230,12/31/2014
12/10/2013,29327521,2B350g,Kleppen,Tbv de voedingsmiddelenindustrie,D,Rusland                                 ,Diverse landen                          ,"3,030",12/31/2014
12/10/2013,29334277,5A002a1,Apparatuur voor informatiebeveiliging,Informatiebeveiliging,D,Pakistan via VAE,Onbekend                                ,"45,627",12/31/2014
12/10/2013,29340617,5A002,Apparatuur en software voor informatiebeveiliging,Informatiebeveiliging,D,Libanon                                 ,Onbekend                                ,"11,089",12/31/2014
12/10/2013,29342490,5D002,Software voor informatiebeveiliging,Informatiebeveiliging                                                           ,D,Irak via Libanon                                 ,Onbekend                                ,"58,731",12/31/2014
12/11/2013,29327742,1E001,Technologie,Vervaardiging van(aramide)garens                                          ,D,China                                   ,Onbekend                                ,"100,000",12/31/2014
12/11/2013,29328943,6A008k    ,Radarsystemen,Luchthaven,D,Turkije                                 ,Denemarken                              ,"400,000",12/31/2014
12/11/2013,29342296,3A231     ,Neutronengeneratorsystemen,Tbv de olie- en gasindustrie,T,Duitsland                               ,Verenigde Staten van Amerika            ,"164,225",12/31/2014
12/13/2013,29308055,9A101     ,Turbinestraal- en turbofanmotoren,Tbv onbemande luchtvaartuigen                                                                  ,D,Taiwan                                  ,Onbekend                                ,"76,710",12/31/2014
12/13/2013,29331545,6A003b4,Camera's,Surveillance en beveiligingsdoeleinden,T,Zuid-Afrika                             ,Verenigde Staten van Amerika            ,"4,302",12/31/2014
