Datum afgifte,nummer,SG-Post,Omschrijving goederen,Opgegeven eindgebruik,D/T,Land van eindbestemming,Land van herkomst,Waarde(€),Datum verval
07/03/2008,27861172,0B001b,Besturings- en monitoringsysteem,Vervaardigen van een verrijkingsinstallatie,D,Verenigd Koninkrijk,Onbekend,"246,445",06/30/2009
07/03/2008,27851266,1C350-02,Fosforoxychloride,Vervaardiging van hydrogene zetmeelfosfaten,D,Brazilië,Onbekend,"39,600",07/31/2009
07/07/2008,27870376,1C350-46,Triethanolamine,Tbv kosmetische- en voedingsmiddelenlindustrie,D,Jordanië,Onbekend,"20,703",07/31/2009
07/08/2008,27826741,3A233a,Spectrometer,Onderzoek van metalen,D,Rusland,Onbekend,"85,922",07/31/2009
07/08/2008,27807100,5A002a1,Apparatuur voor informatiebeveiliging ,Informatiebeveiliging,D,Brazilië,Onbekend,"4,500,000",07/31/2009
07/10/2008,27838421,1C350-07,Fosfortrichloride,Vervaardiging van anti-oxidanten,D,Zuid-Korea,Onbekend,"1,587,000",07/31/2011
07/10/2008,27823246,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Demonstratie,D,India,Onbekend,"2,000",07/31/2009
07/11/2008,27883095,1C350-07,Fosfortrichloride,Vervaardiging van anti-oxidanten,D,Zuid-Korea,Onbekend,"1,587,000",07/31/2011
07/14/2008,27893686,1C350-46,Triethanolamine,Tbv de olie-industrie,D,Algerije,Onbekend,"79,939",07/31/2009
07/14/2008,27906885,2B350g,Kleppen,Tbv de textielindustrie,D,Turkije,Onbekend,320,07/31/2009
07/15/2008,27933092,1C350-07,Fosfortrichloride,Vervaardiging van anti-oxidanten,D,Zuid-Korea,Onbekend,"1,587,000",07/31/2011
07/15/2008,27933106,1C350-07,Fosfortrichloride,Vervaardiging van anti-oxidanten,D,Zuid-Korea,Onbekend,"1,587,000",07/31/2011
07/15/2008,27899099,1C350-47,Fosforpentasulfide,Vervaardiging van additieven voor motorolie,D,Rusland,Onbekend,"3,047,040",07/31/2009
07/16/2008,27725864,0B002f,Vacuümpompen,Vervaardigen van een verrijkingsinstallatie,D,"Frankrijk, Duitsland, VK",Onbekend,"1,000,000",07/31/2009
07/16/2008,27675999,1C010a,Koolstofvezel,Tbv de petrochemische industrie,D,China,Onbekend,"33,305",07/31/2009
07/16/2008,27779255,1C010a,Koolstofvezel,Tbv de petrochemische industrie,D,China,Onbekend,"66,820",07/31/2009
07/16/2008,27883176,1C350-47,Fosforpentasulfide,Tbv de mijnbouw,D,Chili,Onbekend,"81,437",07/31/2009
07/16/2008,27883168,1C350-47,Fosforpentasulfide,Vervaardiging van insecticiden,D,India,Onbekend,"339,364",07/31/2009
07/16/2008,27921485,2B350d,Warmtewisselaars,Vervaardiging van farmaceutische producten,D,Singapore,Onbekend,"40,000",07/31/2009
07/16/2008,27871003,3A233a,Spectrometer,Onderzoek van water- en bodemmonsters,D,Israël,Onbekend,"70,255",07/31/2009
07/16/2008,27931731,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden,T,EU via Israël,Onbekend,"12,200",07/31/2008
07/17/2008,27779263,1C010a,Koolstofvezel,Tbv de petrochemische industrie,D,China,Onbekend,996,07/31/2009
07/17/2008,27877044,1C350-07,Fosfortrichloride,Vervaardiging van batterijen,D,Zuid-Korea,Onbekend,"317,400",07/31/2009
07/17/2008,27785646,3A233a,Spectrometer,Onderzoek van voedingsmiddelen,D,Armenië,Onbekend,"56,343",07/31/2009
07/18/2008,27898971,0C004,Grafiet,Hoogoven,D,Oekraïne,Onbekend,"3,530,418",07/31/2009
07/18/2008,27821731,1C234,Zirkonium filter,Onderzoek (materialen),D,Wereld muv gevoelige landen,Onbekend,"1,000",07/31/2009
07/18/2008,27922406,3A233a,Spectrometer,Onderzoek van metalen,D,Kazachstan,Onbekend,"60,827",07/31/2009
07/18/2008,27585833,3B001f1,Delen van lasermodules voor wafersteppers,Vervaardiging van halfgeleiderelementen of -materialen,D,Israël,Onbekend,"2,856,600",07/31/2009
07/18/2008,27824498,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv militair gebruik (landmacht),T,Turkije,Onbekend,"4,500",07/31/2009
07/21/2008,27963366,1C350-07,Fosfortrichloride,Vervaardiging van batterijen,D,Zuid-Korea,Onbekend,"317,400",07/31/2011
07/21/2008,27833098,1C350-42,Ammoniumbifluoride,Vervaardiging van roestverwijderaar,D,Ecuador,Onbekend,"6,703",07/31/2009
07/22/2008,27953336,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (misdaadbestrijding),D,Rusland,Onbekend,"300,000",07/31/2009
07/22/2008,27953344,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Surveillance en beveiligingsdoeleinden (drugsbestrijding),D,Rusland,Onbekend,"300,000",07/31/2009
07/22/2008,27953352,6A002a2a,(Tweede generatie) beeldversterkerbuizen,Tbv de jacht,D,Rusland,Onbekend,"500,000",07/31/2009
